FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
0.5914,0.5678,0.0,,,,,,
,,,,,,,,
4.6701,3.5535,0.8895,,,,,,
0.2886,0.0,0.0,,,,,,
0.5811,0.0,0.6499,1077.93,0.91,1.0,0.96,0.09,0.0813
0.2974,0.298,0.0,,,,,,
,,,,,,,,
10.0,3.765,1.7838,,,,,,
0.5815,0.5708,0.8444,1067.97,0.91,1.0,0.96,0.09,0.1406
0.2986,0.0,0.0,,,,,,
,,,,,,,,
3.4783,3.5282,0.8953,,,,,,
0.5966,0.0,0.8442,1051.43,0.74,0.81,0.78,0.07,0.1313
,,,,,,,,
7.6723,3.2322,0.0,,,,,,
0.5854,0.8738,0.8959,,,,,,
0.2936,0.2982,0.8862,1075.14,0.88,0.95,0.92,0.07,0.1053
0.2969,0.2938,0.0,,,,,,
,,,,,,,,
10.0,3.7438,2.6199,,,,,,
0.2799,0.2911,0.8782,1068.14,0.91,1.0,0.96,0.09,0.1371
0.0,0.0,0.8848,,,,,,
,,,,,,,,
10.0,3.2276,1.7398,,,,,,
0.593,0.0,1.6807,1066.66,0.88,0.95,0.92,0.07,0.1349
0.2828,0.0,0.8716,,,,,,
,,,,,,,,
9.9797,3.1853,3.5492,,,,,,
0.5885,0.0,0.8984,1068.45,0.91,0.95,0.93,0.04,0.1351
0.0,0.0,0.8807,,,,,,
,,,,,,,,
5.7918,3.1816,4.3013,,,,,,
0.2982,0.5808,0.0,1068.8,0.91,0.95,0.93,0.04,0.128
0.5662,0.0,0.875,,,,,,
,,,,,,,,
5.6068,3.2339,1.7865,,,,,,
0.8569,0.2719,0.8802,1066.86,0.88,0.95,0.92,0.07,0.1271
0.2865,0.5922,0.8507,,,,,,
,,,,,,,,
4.7082,3.5377,1.7414,,,,,,
0.858,0.0,0.0,1069.58,0.91,1.0,0.96,0.09,0.1083
0.2461,0.0,0.8175,,,,,,
,,,,,,,,
9.7524,3.7646,0.0,,,,,,
0.8848,0.2866,0.7413,1068.31,0.91,1.0,0.96,0.09,0.1337
0.2919,0.0,0.0,,,,,,
,,,,,,,,
5.878,3.2657,0.8785,,,,,,
0.0,0.2962,0.8815,,,,,,
0.298,0.8269,0.874,1075.81,0.88,0.95,0.92,0.07,0.0918
0.2458,0.0,0.0,,,,,,
,,,,,,,,
10.0,3.8051,2.5624,,,,,,
0.5964,0.2864,0.5888,,,,,,
0.0,1.1262,0.6948,1076.19,0.91,1.0,0.96,0.09,0.1161
0.2888,0.0,0.0,,,,,,
,,,,,,,,
6.1473,3.2075,3.5293,,,,,,
0.2979,0.0,0.8024,1069.3,0.91,0.95,0.93,0.04,0.1181
0.0,0.0,0.8188,,,,,,
,,,,,,,,
5.5615,3.2207,0.0,,,,,,
0.5929,0.292,0.8571,1068.02,0.88,0.95,0.92,0.07,0.1076
0.2965,0.0,0.0,,,,,,
,,,,,,,,
7.0232,2.6082,5.3092,,,,,,
0.7615,0.5783,1.6835,1062.44,0.82,0.9,0.86,0.08,0.1392
0.0,0.0,0.8746,,,,,,
,,,,,,,,
10.0,3.2389,3.3344,,,,,,
0.2858,0.2838,1.7521,1066.04,0.88,0.95,0.92,0.07,0.1473
0.5699,0.2798,0.8912,,,,,,
,,,,,,,,
7.3745,3.2239,3.3739,,,,,,
0.287,0.0,0.8635,,,,,,
0.0,0.8145,0.0,1077.06,0.91,0.95,0.93,0.04,0.1027
0.5352,0.0,0.0,,,,,,
,,,,,,,,
5.2701,3.2239,1.774,,,,,,
0.0,0.2784,0.8744,1067.84,0.88,0.95,0.92,0.07,0.1113
0.5714,0.0,0.8964,,,,,,
,,,,,,,,
6.1237,3.231,3.4453,,,,,,
0.5824,0.866,2.6372,1067.54,0.91,0.95,0.93,0.04,0.15
0.5455,0.879,0.0,,,,,,
,,,,,,,,
10.0,3.796,1.7689,,,,,,
0.5733,0.0,0.8889,,,,,,
0.2894,0.0,0.0,1076.83,0.91,1.0,0.96,0.09,0.1033
0.0,0.0,0.8723,,,,,,
,,,,,,,,
4.6612,1.7504,4.4014,,,,,,
0.299,0.0,1.6888,1059.83,0.74,0.81,0.78,0.07,0.1033
0.5768,0.0,0.8927,,,,,,
,,,,,,,,
10.0,3.2359,2.5477,,,,,,
0.8705,0.2936,1.7795,1056.03,0.88,0.95,0.92,0.07,0.2075
,,,,,,,,
3.2472,3.4856,1.7561,,,,,,
0.0,0.0,0.8812,1060.3,0.74,0.81,0.78,0.07,0.0939
0.0,0.8217,0.8933,,,,,,
,,,,,,,,
10.0,3.2279,1.7638,,,,,,
0.5877,0.8242,1.7711,,,,,,
0.2894,0.0,0.0,1075.0,0.88,0.95,0.92,0.07,0.1081
0.0,0.0,0.7782,,,,,,
,,,,,,,,
6.9936,3.222,3.4651,,,,,,
0.5765,0.0,2.6638,1068.53,0.91,0.95,0.93,0.04,0.1334
0.0,0.0,0.8338,,,,,,
,,,,,,,,
0.0,3.5117,8.7167,,,,,,
2.1619,1.7441,10.4973,,,,,,
1.1917,1.7396,2.6044,1072.62,0.74,0.76,0.75,0.02,0.1315
1.4065,0.2966,1.7849,,,,,,
0.2915,0.0,0.0,,,,,,
,,,,,,,,
6.4204,3.2441,2.671,,,,,,
0.294,0.0,0.8864,1067.04,0.88,0.95,0.92,0.07,0.1273
0.5815,0.2858,0.8866,,,,,,
,,,,,,,,
8.2366,3.2448,1.7551,,,,,,
0.8721,0.2935,0.8513,1065.93,0.88,0.95,0.92,0.07,0.1457
0.5845,0.5754,0.8748,,,,,,
,,,,,,,,
10.0,3.6758,1.77,,,,,,
0.5916,0.5914,1.7838,1066.85,0.91,1.0,0.96,0.09,0.159
0.8486,0.8562,0.0,,,,,,
,,,,,,,,
6.1427,3.7731,1.7592,,,,,,
0.8409,0.2838,0.0,1067.71,0.91,1.0,0.96,0.09,0.1419
0.2843,1.071,1.7755,,,,,,
,,,,,,,,
8.591,3.1835,4.3593,,,,,,
0.5906,0.0,0.8945,,,,,,
0.2972,0.0,1.7187,1076.72,0.91,0.95,0.93,0.04,0.1097
0.2869,0.0,0.0,,,,,,
,,,,,,,,
5.0442,3.2142,3.5171,,,,,,
0.5942,0.5912,0.8961,1068.78,0.91,0.95,0.93,0.04,0.1284
0.5589,0.288,0.7825,,,,,,
,,,,,,,,
10.0,3.4515,3.5282,,,,,,
1.176,0.8257,1.7308,1067.0,0.91,1.0,0.96,0.09,0.1599
0.299,0.0,0.8933,,,,,,
,,,,,,,,
10.0,3.2774,2.6834,,,,,,
0.2886,0.2934,1.7089,,,,,,
1.0822,0.5794,0.0,1074.62,0.88,0.95,0.92,0.07,0.1157
0.2919,0.0,0.0,,,,,,
,,,,,,,,
10.0,3.8034,2.6708,,,,,,
0.5384,0.5537,0.0,,,,,,
1.7091,0.2958,0.8751,1075.56,0.91,1.0,0.96,0.09,0.1287
0.8136,0.0,0.0,,,,,,
,,,,,,,,
5.0367,3.259,1.7586,,,,,,
0.8896,0.5949,1.6944,,,,,,
0.242,0.2902,0.0,1075.14,0.88,0.95,0.92,0.07,0.1052
1.3377,0.0,0.8713,,,,,,
,,,,,,,,
2.7887,2.1931,11.5396,,,,,,
1.4167,1.9541,2.6137,,,,,,
0.0,1.1025,8.2926,1072.92,0.74,0.76,0.75,0.02,0.1256
0.2861,0.8364,0.0,,,,,,
0.7557,0.5234,0.0,,,,,,
,,,,,,,,
4.6625,1.4645,3.5418,,,,,,
0.0,0.297,0.7749,,,,,,
1.5593,0.8507,1.7571,1067.49,0.74,0.81,0.78,0.07,0.0902
0.2865,0.0,0.0,,,,,,
,,,,,,,,
5.8412,3.2512,2.5506,,,,,,
0.0,0.2944,2.5309,1066.95,0.88,0.95,0.92,0.07,0.129
0.5905,0.5942,0.0,,,,,,
,,,,,,,,
10.0,3.229,2.6377,,,,,,
0.877,0.5722,1.7432,1065.54,0.88,0.95,0.92,0.07,0.1573
0.8479,0.2891,0.8295,,,,,,
,,,,,,,,
7.3925,3.2622,3.5188,,,,,,
1.4809,1.1415,2.5946,1066.95,0.91,0.95,0.93,0.04,0.165
0.2962,0.297,0.8794,,,,,,
,,,,,,,,
4.7226,3.9647,6.1699,,,,,,
1.7659,0.822,3.266,,,,,,
