FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
2.7223,4.3365,9.8262,,,,,,
4.2136,2.1082,4.5429,1082.88,0.82,0.9,0.86,0.08,0.2606
1.1979,3.3218,6.7539,,,,,,
2.4216,4.2391,12.424,,,,,,
,,,,,,,,
0.5922,1.3391,4.8784,,,,,,
2.4213,2.5753,8.6489,,,,,,
2.9949,1.7456,0.7762,1084.43,0.82,0.9,0.86,0.08,0.2218
1.711,2.0154,9.524,,,,,,
2.7338,5.3944,8.5728,,,,,,
,,,,,,,,
0.8696,1.1471,5.523,,,,,,
5.3365,2.6622,6.0966,1053.76,0.82,0.9,0.86,0.08,0.2235
,,,,,,,,
0.2884,1.2403,5.3974,,,,,,
2.6086,4.2518,13.1385,,,,,,
3.2044,2.5934,8.5662,1073.76,0.82,0.9,0.86,0.08,0.2299
1.7802,2.2718,4.0105,,,,,,
,,,,,,,,
1.0736,1.5589,-0.8257,,,,,,
1.2598,-1.1766,3.7763,1059.17,0.74,0.81,0.78,0.07,0.1693
6.8955,2.3379,-1.4863,,,,,,
,,,,,,,,
1.1393,1.1153,3.2681,,,,,,
3.3843,3.6367,6.723,,,,,,
3.832,1.0747,4.8952,1073.05,0.79,0.86,0.82,0.07,0.1833
1.9418,0.9746,1.4486,,,,,,
,,,,,,,,
1.1635,0.5797,4.3096,,,,,,
3.5229,3.9147,8.4275,,,,,,
1.5222,2.0837,8.6122,1085.12,0.82,0.9,0.86,0.08,0.2045
1.3465,2.2909,3.7647,,,,,,
2.8984,3.5165,0.8321,,,,,,
,,,,,,,,
1.1456,0.868,5.6846,,,,,,
1.5901,3.5557,14.803,,,,,,
2.7909,3.5259,6.1471,1071.99,0.82,0.9,0.86,0.08,0.2356
3.0687,1.9584,6.0289,,,,,,
,,,,,,,,
1.1103,1.6365,4.9691,,,,,,
3.0703,4.5398,10.1143,,,,,,
1.9634,-0.0775,5.4356,1085.88,0.82,0.9,0.86,0.08,0.1855
2.198,1.5602,2.1853,,,,,,
2.8668,0.7314,-3.7855,,,,,,
,,,,,,,,
2.2446,0.5017,3.9887,,,,,,
3.2602,3.3291,3.9352,,,,,,
1.6822,2.2175,8.5538,1071.38,0.76,0.81,0.79,0.05,0.1838
0.7393,1.6575,4.1379,,,,,,
,,,,,,,,
1.1425,2.1947,10.5097,,,,,,
4.0708,3.0653,8.9036,,,,,,
2.5619,1.6477,1.6883,1084.04,0.82,0.9,0.86,0.08,0.2315
1.3232,1.8401,4.8548,,,,,,
3.155,4.7515,4.4316,,,,,,
,,,,,,,,
1.6608,1.5144,6.0397,,,,,,
1.0586,2.4796,14.0811,,,,,,
4.3746,1.5494,6.8508,1083.85,0.82,0.9,0.86,0.08,0.2363
3.3412,4.3194,5.1219,,,,,,
1.6004,3.2404,2.8794,,,,,,
,,,,,,,,
2.4074,4.675,8.9918,,,,,,
1.7319,1.5535,13.0086,,,,,,
1.5374,1.9203,1.0194,1070.75,0.82,0.9,0.86,0.08,0.2108
1.7759,1.0814,5.5093,,,,,,
,,,,,,,,
3.5835,2.9506,6.7311,,,,,,
2.6306,2.5557,1.2595,,,,,,
2.1118,2.3544,6.4528,1066.7,0.74,0.81,0.78,0.07,0.2215
1.4194,1.8221,8.8733,,,,,,
,,,,,,,,
5.6226,2.5375,-0.5999,,,,,,
1.7366,-0.222,5.45,1051.43,0.76,0.81,0.79,0.05,0.1934
,,,,,,,,
5.7632,1.2775,3.3664,,,,,,
1.2947,1.7873,2.7985,1061.95,0.74,0.81,0.78,0.07,0.1569
0.8503,1.3523,0.8835,,,,,,
,,,,,,,,
1.4455,1.188,3.5639,,,,,,
1.3726,3.6792,8.9899,,,,,,
2.7317,1.023,10.2425,1065.12,0.74,0.81,0.78,0.07,0.1863
1.6128,1.8164,-1.2997,,,,,,
,,,,,,,,
-0.8776,2.5732,8.2712,,,,,,
3.0822,2.5885,11.5875,,,,,,
3.1234,2.4697,8.1117,1070.02,0.74,0.76,0.75,0.02,0.2277
2.1367,1.6583,1.1005,,,,,,
