FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
0.0,0.0,18.7196,1126.88,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1712
,,,,,,,,,,,,
0.0,0.0,18.7519,1126.86,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1714
,,,,,,,,,,,,
0.0,0.0,18.7502,1126.86,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1714
,,,,,,,,,,,,
0.0,0.2955,18.667,1125.92,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1808
,,,,,,,,,,,,
0.0,0.0,18.7116,1126.88,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1712
,,,,,,,,,,,,
0.0,0.0,18.7492,1126.86,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1714
,,,,,,,,,,,,
0.0,0.0,18.6654,1126.91,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1709
,,,,,,,,,,,,
0.0,0.0,18.6966,1126.89,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1711
,,,,,,,,,,,,
0.0,0.0,18.7566,1126.86,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1714
,,,,,,,,,,,,
0.0,0.0,18.7255,1126.87,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1713
,,,,,,,,,,,,
0.0,0.0,18.7174,1126.88,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1712
,,,,,,,,,,,,
0.0,0.0,18.7207,1126.88,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1712
,,,,,,,,,,,,
0.0,0.0,18.6507,1126.91,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1709
,,,,,,,,,,,,
0.0,0.0,18.7003,1126.89,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1711
,,,,,,,,,,,,
0.0,0.0,18.687,1126.9,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.171
,,,,,,,,,,,,
0.0,0.0,18.7528,1126.86,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1714
,,,,,,,,,,,,
0.0,0.0,18.6917,1126.89,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1711
,,,,,,,,,,,,
0.0,0.0,18.7086,1126.88,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1712
,,,,,,,,,,,,
0.0,0.2988,18.7286,1125.88,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1812
,,,,,,,,,,,,
0.0,0.0,18.7288,1126.87,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1713
,,,,,,,,,,,,
0.0,0.0,18.7575,1126.86,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1714
,,,,,,,,,,,,
0.0,0.0,18.7068,1126.88,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1712
,,,,,,,,,,,,
0.0,0.2991,18.6915,1125.9,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.181
,,,,,,,,,,,,
0.0,0.0,18.78,1126.84,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1716
,,,,,,,,,,,,
0.0,0.0,18.7104,1126.88,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1712
,,,,,,,,,,,,
0.0,0.0,18.6562,1126.91,0.83,0.74,0.78,0.09,1.0,1.0,1.0,0.0,0.1709
,,,,,,,,,,,,
0.0,0.5953,19.6031,1130.43,0.87,0.79,0.83,0.08,1.0,1.0,1.0,0.0,0.1957
,,,,,,,,,,,,
0.0,0.0,18.6279,1128.93,0.81,0.74,0.78,0.07,1.0,1.0,1.0,0.0,0.1707
