capital-gain,hours-per-week,educational-num,Reward,Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
8745,3.0,0.0,1096.46,1.0,1.0,1.0,0.0,0.0393
,,,,,,,,
8647,5.0,1.0,1065.74,1.0,1.0,1.0,0.0,0.3782
,,,,,,,,
8462,14.0,0.0,1092.98,1.0,1.0,1.0,0.0,0.0756
,,,,,,,,
8639,0.0,0.0,1097.41,1.0,1.0,1.0,0.0,0.0288
,,,,,,,,
7708,0.0,0.0,1097.57,1.0,1.0,1.0,0.0,0.0257
,,,,,,,,
8199,16.0,2.0,1058.45,1.0,1.0,1.0,0.0,0.4131
,,,,,,,,
7718,0.0,0.0,1097.56,1.0,1.0,1.0,0.0,0.0257
,,,,,,,,
8715,0.0,0.0,1097.26,1.0,1.0,1.0,0.0,0.0291
,,,,,,,,
8488,2.0,0.0,1096.84,1.0,1.0,1.0,0.0,0.0351
,,,,,,,,
8739,16.0,0.0,1092.38,1.0,1.0,1.0,0.0,0.0833
,,,,,,,,
8345,3.0,1.0,1062.38,1.0,1.0,1.0,0.0,0.3704
,,,,,,,,
8616,3.0,1.0,1066.58,1.0,1.0,1.0,0.0,0.3713
,,,,,,,,
8753,8.0,2.0,1065.1,1.0,1.0,1.0,0.0,0.3878
,,,,,,,,
8979,0.0,0.0,1097.05,1.0,1.0,1.0,0.0,0.0299
,,,,,,,,
7420,7.0,0.0,1095.52,1.0,1.0,1.0,0.0,0.0484
,,,,,,,,
8757,12.0,1.0,1063.8,1.0,1.0,1.0,0.0,0.4022
,,,,,,,,
8342,3.0,0.0,1096.58,1.0,1.0,1.0,0.0,0.038
,,,,,,,,
8187,9.0,0.0,1094.8,1.0,1.0,1.0,0.0,0.0578
,,,,,,,,
8715,5.0,0.0,1095.86,1.0,1.0,1.0,0.0,0.046
,,,,,,,,
8483,0.0,0.0,1097.33,1.0,1.0,1.0,0.0,0.0283
,,,,,,,,
8493,0.0,0.0,1097.45,1.0,1.0,1.0,0.0,0.0283
,,,,,,,,
7903,5.0,0.0,1096.03,1.0,1.0,1.0,0.0,0.0433
,,,,,,,,
8277,0.0,2.0,1063.52,1.0,1.0,1.0,0.0,0.3592
,,,,,,,,
8715,0.0,2.0,1067.55,1.0,1.0,1.0,0.0,0.3606
,,,,,,,,
8507,13.0,0.0,1093.48,1.0,1.0,1.0,0.0,0.0724
,,,,,,,,
10133,3.0,2.0,1065.97,1.0,1.0,1.0,0.0,0.3755
,,,,,,,,
7456,6.0,0.0,1091.78,1.0,1.0,1.0,0.0,0.0452
,,,,,,,,
7934,8.0,2.0,1065.34,1.0,1.0,1.0,0.0,0.3851
,,,,,,,,
8293,6.0,0.0,1095.68,1.0,1.0,1.0,0.0,0.048
,,,,,,,,
7327,0.0,0.0,1097.76,1.0,1.0,1.0,0.0,0.0244
,,,,,,,,
8771,3.0,5.0,1066.75,1.0,1.0,1.0,0.0,0.3669
,,,,,,,,
8822,2.0,0.0,1096.62,1.0,1.0,1.0,0.0,0.0362
,,,,,,,,
8343,0.0,0.0,1097.5,1.0,1.0,1.0,0.0,0.0278
,,,,,,,,
