capital-gain,hours-per-week,educational-num,Reward,Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
7624,12.0,4.0,1062.87,1.0,1.0,1.0,0.0,0.1893
,,,,,,,,
8552,0.0,0.0,1073.58,1.0,1.0,1.0,0.0,0.0285
,,,,,,,,
7688,7.0,0.0,1069.98,1.0,1.0,1.0,0.0,0.0494
,,,,,,,,
8042,6.0,2.0,1056.09,1.0,1.0,1.0,0.0,0.2134
,,,,,,,,
8463,0.0,1.0,1057.57,1.0,1.0,1.0,0.0,0.2166
,,,,,,,,
8485,11.0,1.0,1062.3,1.0,1.0,1.0,0.0,0.254
,,,,,,,,
7618,5.0,0.0,1072.62,1.0,1.0,1.0,0.0,0.0424
,,,,,,,,
8510,15.0,2.0,1059.96,1.0,1.0,1.0,0.0,0.2455
,,,,,,,,
8760,20.0,5.0,1064.47,1.0,1.0,1.0,0.0,0.1999
,,,,,,,,
8653,0.0,1.0,1061.34,1.0,1.0,1.0,0.0,0.2172
,,,,,,,,
7720,7.0,0.0,1072.39,1.0,1.0,1.0,0.0,0.0495
,,,,,,,,
7640,8.0,3.0,1059.47,1.0,1.0,1.0,0.0,0.197
,,,,,,,,
7664,3.0,5.0,1067.93,1.0,1.0,1.0,0.0,0.1387
,,,,,,,,
8583,3.0,2.0,1064.75,1.0,1.0,1.0,0.0,0.205
,,,,,,,,
8801,5.0,1.0,1063.02,1.0,1.0,1.0,0.0,0.2347
,,,,,,,,
9764,4.0,3.0,1062.85,1.0,1.0,1.0,0.0,0.1905
,,,,,,,,
8210,1.0,1.0,1063.94,1.0,1.0,1.0,0.0,0.2191
,,,,,,,,
8115,0.0,0.0,1073.64,1.0,1.0,1.0,0.0,0.0271
,,,,,,,,
7453,2.0,0.0,1073.42,1.0,1.0,1.0,0.0,0.0316
,,,,,,,,
8084,4.0,3.0,1065.51,1.0,1.0,1.0,0.0,0.1849
,,,,,,,,
8458,7.0,0.0,1069.76,1.0,1.0,1.0,0.0,0.0519
,,,,,,,,
8676,0.0,2.0,1065.24,1.0,1.0,1.0,0.0,0.1952
,,,,,,,,
8130,10.0,3.0,1059.3,1.0,1.0,1.0,0.0,0.2054
,,,,,,,,
7829,12.0,2.0,1063.23,1.0,1.0,1.0,0.0,0.233
,,,,,,,,
8496,22.0,4.0,1063.21,1.0,1.0,1.0,0.0,0.226
,,,,,,,,
9128,16.0,4.0,1061.74,1.0,1.0,1.0,0.0,0.2079
,,,,,,,,
8764,11.0,0.0,1068.9,1.0,1.0,1.0,0.0,0.0665
,,,,,,,,
7198,3.0,0.0,1070.44,1.0,1.0,1.0,0.0,0.0342
,,,,,,,,
8643,16.0,1.0,1058.91,1.0,1.0,1.0,0.0,0.2714
,,,,,,,,
8569,8.0,1.0,1062.66,1.0,1.0,1.0,0.0,0.2441
,,,,,,,,
32464.0,27.0,1.0,,,,,,
10000,2.0,1.0,1134.59,2.0,2.0,2.0,0.0,0.3082
,,,,,,,,
8593,8.0,0.0,1066.85,1.0,1.0,1.0,0.0,0.0558
,,,,,,,,
8033,0.0,0.0,1073.66,1.0,1.0,1.0,0.0,0.0268
,,,,,,,,
8516,6.0,2.0,1064.11,1.0,1.0,1.0,0.0,0.215
,,,,,,,,
8331,10.0,0.0,1071.92,1.0,1.0,1.0,0.0,0.0617
,,,,,,,,
8304,0.0,0.0,1073.48,1.0,1.0,1.0,0.0,0.0277
,,,,,,,,
8278,13.0,2.0,1062.7,1.0,1.0,1.0,0.0,0.238
,,,,,,,,
9494,5.0,2.0,1061.67,1.0,1.0,1.0,0.0,0.2148
,,,,,,,,
9997,3.0,1.0,1063.4,1.0,1.0,1.0,0.0,0.2319
,,,,,,,,
7628,5.0,1.0,1063.46,1.0,1.0,1.0,0.0,0.2308
,,,,,,,,
9911,13.0,1.0,1061.63,1.0,1.0,1.0,0.0,0.2655
,,,,,,,,
7767,9.0,0.0,1071.82,1.0,1.0,1.0,0.0,0.0564
,,,,,,,,
8850,17.0,2.0,1062.33,1.0,1.0,1.0,0.0,0.2534
,,,,,,,,
7744,2.0,0.0,1073.37,1.0,1.0,1.0,0.0,0.0326
,,,,,,,,
8344,2.0,1.0,1060.89,1.0,1.0,1.0,0.0,0.2229
,,,,,,,,
8596,25.0,5.0,1063.75,1.0,1.0,1.0,0.0,0.2162
,,,,,,,,
8445,3.0,0.0,1072.95,1.0,1.0,1.0,0.0,0.0383
,,,,,,,,
8397,1.0,2.0,1064.89,1.0,1.0,1.0,0.0,0.1976
,,,,,,,,
8759,3.0,0.0,1073.03,1.0,1.0,1.0,0.0,0.0394
,,,,,,,,
8372,2.0,0.0,1073.26,1.0,1.0,1.0,0.0,0.0347
,,,,,,,,
10186,6.0,1.0,1062.62,1.0,1.0,1.0,0.0,0.2427
,,,,,,,,
9667,9.0,0.0,1071.86,1.0,1.0,1.0,0.0,0.0627
,,,,,,,,
10039,0.0,0.0,1070.36,1.0,1.0,1.0,0.0,0.0335
,,,,,,,,
8332,9.0,0.0,1068.88,1.0,1.0,1.0,0.0,0.0583
,,,,,,,,
8095,9.0,4.0,1065.76,1.0,1.0,1.0,0.0,0.1807
,,,,,,,,
8707,0.0,0.0,1073.55,1.0,1.0,1.0,0.0,0.029
,,,,,,,,
7761,7.0,3.0,1062.66,1.0,1.0,1.0,0.0,0.194
,,,,,,,,
8878,8.0,0.0,1072.07,1.0,1.0,1.0,0.0,0.0567
,,,,,,,,
7213,11.0,0.0,1071.94,1.0,1.0,1.0,0.0,0.0613
