capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
,,,,,,,,
8130,12.0,3.0,,,,,,
5348.0,8.0,0.0,,,,,,
2977.0,0.0,0.0,1222.62,0.97,0.98,0.97,0.01,0.2442
4349.0,6.0,2.0,,,,,,
6829.0,15.0,3.0,,,,,,
,,,,,,,,
2898.0,4.0,3.0,,,,,,
4375.0,9.0,0.0,,,,,,
2704.0,10.0,3.0,1227.02,0.95,0.95,0.95,0.0,0.172
2974.0,12.0,0.0,,,,,,
8024,4.0,0.0,,,,,,
,,,,,,,,
2809.0,0.0,1.0,,,,,,
8266,3.0,1.0,,,,,,
2947.0,7.0,1.0,1220.3899999999999,0.94,0.96,0.95,0.02,0.2257
2797.0,4.0,0.0,,,,,,
5329.0,3.0,0.0,,,,,,
,,,,,,,,
5021.0,3.0,0.0,,,,,,
5688.0,0.0,2.0,,,,,,
0.0,9.0,0.0,1234.17,1.0,1.0,1.0,0.0,0.1759
0.0,1.0,1.0,,,,,,
10306,30.0,0.0,,,,,,
,,,,,,,,
5694.0,0.0,1.0,,,,,,
6338.0,6.0,1.0,,,,,,
2458.0,-1.0,2.0,1208.94,0.91,0.9,0.91,0.01,0.2962
7903,7.0,3.0,,,,,,
4935.0,5.0,0.0,,,,,,
,,,,,,,,
2638.0,10.0,2.0,,,,,,
2408.0,5.0,0.0,,,,,,
0.0,1.0,1.0,1215.13,0.95,0.97,0.96,0.02,0.3008
2841.0,13.0,3.0,,,,,,
8134,8.0,1.0,,,,,,
,,,,,,,,
5615.0,6.0,4.0,,,,,,
2409.0,11.0,3.0,,,,,,
5736.0,16.0,0.0,1199.75,0.9,0.85,0.88,0.05,0.3083
7895,2.0,3.0,,,,,,
5601.0,6.0,4.0,,,,,,
,,,,,,,,
6495.0,23.0,1.0,,,,,,
4071.0,2.0,1.0,,,,,,
8572,6.0,0.0,1226.55,0.99,0.99,0.99,0.0,0.2439
7279.0,5.0,0.0,,,,,,
293.0,5.0,4.0,,,,,,
,,,,,,,,
2917.0,2.0,2.0,,,,,,
8721,5.0,1.0,,,,,,
0.0,4.0,2.0,1219.2,0.97,0.98,0.97,0.01,0.2822
0.0,0.0,1.0,,,,,,
0.0,2.0,0.0,,,,,,
,,,,,,,,
5531.0,8.0,2.0,,,,,,
2502.0,9.0,1.0,,,,,,
10641,0.0,1.0,1191.62,0.97,0.98,0.97,0.01,0.3665
3854.0,3.0,4.0,,,,,,
,,,,,,,,
2041.0,0.0,0.0,,,,,,
2972.0,5.0,0.0,,,,,,
2955.0,11.0,3.0,1225.23,0.95,0.93,0.94,0.02,0.1552
7754,0.0,0.0,,,,,,
2433.0,0.0,1.0,,,,,,
,,,,,,,,
2984.0,3.0,0.0,,,,,,
8601,0.0,0.0,1186.3,0.99,0.99,0.99,0.0,0.0244
,,,,,,,,
8352,-1.0,1.0,,,,,,
0.0,3.0,0.0,,,,,,
0.0,3.0,0.0,1228.48,0.95,0.97,0.96,0.02,0.1524
5170.0,0.0,0.0,,,,,,
2604.0,6.0,2.0,,,,,,
,,,,,,,,
5743.0,6.0,1.0,,,,,,
5357.0,3.0,1.0,,,,,,
7785,3.0,1.0,1191.1100000000001,0.89,0.83,0.86,0.06,0.361
2923.0,3.0,1.0,,,,,,
2812.0,3.0,1.0,,,,,,
,,,,,,,,
2963.0,0.0,1.0,,,,,,
2725.0,0.0,1.0,,,,,,
0.0,5.0,0.0,1226.93,0.99,1.0,0.99,0.01,0.2297
2969.0,9.0,4.0,,,,,,
10034,14.0,0.0,,,,,,
,,,,,,,,
2994.0,8.0,0.0,,,,,,
3473.0,10.0,3.0,,,,,,
8757,9.0,3.0,1218.88,0.98,0.99,0.98,0.01,0.3024
3490.0,3.0,4.0,,,,,,
2288.0,8.0,8.0,,,,,,
,,,,,,,,
-780.0,22.0,2.0,,,,,,
269.0,1.0,1.0,,,,,,
2363.0,-2.0,0.0,1222.69,0.96,0.97,0.96,0.01,0.2268
9144,3.0,1.0,,,,,,
0.0,-1.0,0.0,,,,,,
,,,,,,,,
5499.0,14.0,4.0,,,,,,
2740.0,7.0,4.0,,,,,,
7585.0,21.0,2.0,1181.0,0.78,0.73,0.76,0.05,0.3167
2575.0,5.0,3.0,,,,,,
2448.0,12.0,0.0,,,,,,
,,,,,,,,
8272,6.0,0.0,,,,,,
0.0,3.0,0.0,,,,,,
2620.0,0.0,1.0,1209.6399999999999,0.98,0.99,0.98,0.01,0.1829
0.0,0.0,1.0,,,,,,
,,,,,,,,
8177,6.0,2.0,,,,,,
0.0,0.0,2.0,,,,,,
2987.0,0.0,0.0,1205.33,0.95,0.97,0.96,0.02,0.1875
5686.0,3.0,0.0,,,,,,
,,,,,,,,
7541.0,1.0,8.0,,,,,,
4071.0,0.0,0.0,,,,,,
8814,3.0,2.0,1218.51,0.97,0.98,0.97,0.01,0.2899
5716.0,5.0,3.0,,,,,,
2904.0,2.0,4.0,,,,,,
,,,,,,,,
2947.0,0.0,5.0,,,,,,
10318,0.0,0.0,,,,,,
4097.0,2.0,1.0,1228.5,0.99,0.99,0.99,0.0,0.2222
0.0,8.0,0.0,,,,,,
0.0,8.0,1.0,,,,,,
,,,,,,,,
2921.0,0.0,1.0,,,,,,
5674.0,3.0,1.0,,,,,,
