capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
7444.0,4.0,2.0,1061.6,1.0,1.0,1.0,0.0,0.2063
,,,,,,,,
7764,0.0,0.0,1059.1,0.96,0.97,0.96,0.01,0.0259
,,,,,,,,
8554,5.0,1.0,1051.44,0.98,0.99,0.98,0.01,0.2364
,,,,,,,,
8763,5.0,2.0,1052.58,0.98,0.99,0.98,0.01,0.215
,,,,,,,,
7546,17.0,0.0,1048.68,0.89,0.84,0.86,0.05,0.0827
,,,,,,,,
8745,0.0,0.0,1062.49,0.99,1.0,0.99,0.01,0.0292
,,,,,,,,
8768,4.0,1.0,1049.77,0.98,0.99,0.98,0.01,0.2338
,,,,,,,,
7101,6.0,0.0,1046.65,0.8,0.73,0.77,0.07,0.044
,,,,,,,,
9757,3.0,1.0,1050.86,0.99,0.99,0.99,0.0,0.2337
,,,,,,,,
7473,10.0,0.0,1047.51,0.87,0.83,0.85,0.04,0.0588
,,,,,,,,
8900,0.0,3.0,1054.56,0.98,0.99,0.98,0.01,0.1767
,,,,,,,,
8901,5.0,2.0,1052.52,0.98,0.99,0.98,0.01,0.2155
,,,,,,,,
10232,3.0,1.0,1052.19,0.99,1.0,0.99,0.01,0.2352
,,,,,,,,
7163,4.0,0.0,1044.93,0.82,0.74,0.78,0.08,0.0374
,,,,,,,,
8580,5.0,0.0,1061.49,0.99,1.0,0.99,0.01,0.0455
,,,,,,,,
8952,3.0,0.0,1061.95,0.99,1.0,0.99,0.01,0.04
,,,,,,,,
7997,0.0,1.0,1049.77,0.93,0.92,0.93,0.01,0.2176
,,,,,,,,
8493,8.0,0.0,1061.04,0.99,1.0,0.99,0.01,0.0554
,,,,,,,,
8382,3.0,1.0,1051.71,0.98,0.99,0.98,0.01,0.2291
,,,,,,,,
7953,0.0,0.0,1060.8,0.96,0.97,0.96,0.01,0.0265
,,,,,,,,
8391,0.0,0.0,1063.05,0.99,0.99,0.99,0.0,0.028
,,,,,,,,
7937,0.0,2.0,1045.55,0.93,0.93,0.93,0.0,0.1953
,,,,,,,,
7711,11.0,1.0,1046.31,0.9,0.89,0.9,0.01,0.2539
,,,,,,,,
9824,0.0,0.0,1062.32,0.99,1.0,0.99,0.01,0.0327
,,,,,,,,
7462,5.0,0.0,1045.93,0.84,0.76,0.8,0.08,0.0418
,,,,,,,,
8004,0.0,1.0,1049.77,0.93,0.92,0.93,0.01,0.2176
,,,,,,,,
8277,6.0,2.0,1052.06,0.97,0.99,0.98,0.02,0.2168
,,,,,,,,
9369,2.0,0.0,1062.05,0.99,1.0,0.99,0.01,0.038
,,,,,,,,
7936,3.0,3.0,1052.02,0.94,0.95,0.94,0.01,0.1836
,,,,,,,,
8630,12.0,2.0,1051.79,0.99,1.0,0.99,0.01,0.2383
,,,,,,,,
9634,3.0,1.0,1052.79,0.99,0.99,0.99,0.0,0.2332
,,,,,,,,
8723,0.0,1.0,1052.4,0.98,0.99,0.98,0.01,0.22
,,,,,,,,
8111,5.0,1.0,1049.19,0.97,0.98,0.97,0.01,0.235
,,,,,,,,
8548,5.0,0.0,1061.68,0.99,1.0,0.99,0.01,0.0454
,,,,,,,,
8268,0.0,1.0,1051.97,0.97,0.99,0.98,0.02,0.2185
,,,,,,,,
8519,0.0,0.0,1060.62,0.99,1.0,0.99,0.01,0.0284
,,,,,,,,
10414,0.0,1.0,1052.66,0.99,1.0,0.99,0.01,0.2257
,,,,,,,,
9779,7.0,0.0,1060.92,0.99,1.0,0.99,0.01,0.0563
,,,,,,,,
8830,11.0,1.0,1051.49,0.99,0.99,0.99,0.0,0.2577
,,,,,,,,
8259,3.0,1.0,1051.41,0.97,0.98,0.97,0.01,0.2287
,,,,,,,,
8634,5.0,3.0,1053.69,0.98,0.99,0.98,0.01,0.1927
,,,,,,,,
10575,0.0,1.0,1052.64,0.99,1.0,0.99,0.01,0.2262
,,,,,,,,
7882,2.0,1.0,1050.5,0.94,0.94,0.94,0.0,0.224
,,,,,,,,
8209,0.0,0.0,1062.03,0.98,0.99,0.98,0.01,0.0274
,,,,,,,,
7978,0.0,1.0,1049.77,0.93,0.92,0.93,0.01,0.2176
,,,,,,,,
8293,0.0,0.0,1062.02,0.98,0.99,0.98,0.01,0.0276
,,,,,,,,
8417,0.0,0.0,1063.04,0.99,0.99,0.99,0.0,0.0281
,,,,,,,,
8683,0.0,0.0,1062.5,0.99,1.0,0.99,0.01,0.0289
,,,,,,,,
8621,2.0,0.0,1062.18,0.99,1.0,0.99,0.01,0.0355
,,,,,,,,
8547,3.0,0.0,1062.01,0.99,1.0,0.99,0.01,0.0387
,,,,,,,,
8555,3.0,1.0,1051.92,0.98,0.99,0.98,0.01,0.2297
,,,,,,,,
8704,2.0,0.0,1062.06,0.99,1.0,0.99,0.01,0.0358
,,,,,,,,
8788,9.0,1.0,,,,,,
7146.0,3.0,1.0,1059.92,0.99,0.99,0.99,0.0,0.2379
,,,,,,,,
