FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
0.0,0.0,18.7493,1113.47,0.83,0.74,0.78,0.09,0.1714
,,,,,,,,
0.0,0.0,18.692,1113.5,0.83,0.74,0.78,0.09,0.1711
,,,,,,,,
0.0,0.0,18.7559,1113.47,0.83,0.74,0.78,0.09,0.1714
,,,,,,,,
0.0,0.0,18.6603,1113.52,0.83,0.74,0.78,0.09,0.1709
,,,,,,,,
0.0,0.0,18.6785,1113.51,0.83,0.74,0.78,0.09,0.171
,,,,,,,,
0.0,0.2984,18.7133,1112.6,0.83,0.74,0.78,0.09,0.1811
,,,,,,,,
0.0,0.2991,19.4094,1120.96,0.85,0.79,0.82,0.06,0.1849
,,,,,,,,
0.0,0.0,18.7032,1113.5,0.83,0.74,0.78,0.09,0.1711
,,,,,,,,
0.0,0.2984,19.456,1120.94,0.85,0.79,0.82,0.06,0.1851
,,,,,,,,
0.0,0.0,18.7184,1113.49,0.83,0.74,0.78,0.09,0.1712
,,,,,,,,
0.0,0.0,18.7128,1113.49,0.83,0.74,0.78,0.09,0.1712
,,,,,,,,
0.0,0.0,18.7309,1113.48,0.83,0.74,0.78,0.09,0.1713
,,,,,,,,
0.0,0.0,18.7798,1113.46,0.83,0.74,0.78,0.09,0.1716
,,,,,,,,
0.0,0.0,18.7178,1113.49,0.83,0.74,0.78,0.09,0.1712
,,,,,,,,
0.0,0.0,18.7715,1113.46,0.83,0.74,0.78,0.09,0.1715
,,,,,,,,
0.0,0.0,18.7456,1113.47,0.83,0.74,0.78,0.09,0.1714
,,,,,,,,
0.0,0.0,19.3506,1116.19,0.85,0.76,0.8,0.09,0.1746
,,,,,,,,
0.0,0.0,18.5898,1115.35,0.81,0.74,0.78,0.07,0.1705
,,,,,,,,
0.0,0.0,18.7211,1113.49,0.83,0.74,0.78,0.09,0.1712
,,,,,,,,
0.0,0.0,18.7047,1113.5,0.83,0.74,0.78,0.09,0.1711
,,,,,,,,
0.0,0.0,18.76,1113.47,0.83,0.74,0.78,0.09,0.1714
,,,,,,,,
0.0,0.0,18.6654,1113.52,0.83,0.74,0.78,0.09,0.1709
,,,,,,,,
0.0,0.0,18.5988,1115.35,0.81,0.74,0.78,0.07,0.1706
,,,,,,,,
0.0,0.0,18.7528,1113.47,0.83,0.74,0.78,0.09,0.1714
,,,,,,,,
0.0,0.0,18.726,1113.48,0.83,0.74,0.78,0.09,0.1713
,,,,,,,,
0.0,0.0,18.6862,1113.51,0.83,0.74,0.78,0.09,0.171
,,,,,,,,
0.0,0.5821,19.6238,1119.71,0.87,0.79,0.83,0.08,0.1954
,,,,,,,,
0.0,0.0,18.6096,1115.35,0.81,0.74,0.78,0.07,0.1706
,,,,,,,,
0.0,0.2998,18.739,1112.58,0.83,0.74,0.78,0.09,0.1813
,,,,,,,,
0.0,0.0,18.7321,1113.48,0.83,0.74,0.78,0.09,0.1713
,,,,,,,,
0.0,0.0,18.7242,1113.49,0.83,0.74,0.78,0.09,0.1712
,,,,,,,,
0.0,0.0,18.7707,1113.46,0.83,0.74,0.78,0.09,0.1715
,,,,,,,,
0.0,0.0,18.6462,1113.53,0.83,0.74,0.78,0.09,0.1708
,,,,,,,,
0.0,0.0,18.7708,1113.46,0.83,0.74,0.78,0.09,0.1715
,,,,,,,,
0.0,0.0,18.746,1113.47,0.83,0.74,0.78,0.09,0.1714
,,,,,,,,
0.0,0.0,18.7314,1113.48,0.83,0.74,0.78,0.09,0.1713
,,,,,,,,
0.0,0.0,18.7426,1113.47,0.83,0.74,0.78,0.09,0.1714
,,,,,,,,
0.0,0.0,18.7476,1113.47,0.83,0.74,0.78,0.09,0.1714
,,,,,,,,
0.0,0.2991,18.6732,1112.62,0.83,0.74,0.78,0.09,0.1809
,,,,,,,,
0.0,0.0,18.6723,1113.51,0.83,0.74,0.78,0.09,0.171
,,,,,,,,
0.0,0.0,19.4159,1121.86,0.85,0.79,0.82,0.06,0.1749
,,,,,,,,
0.0,0.2853,18.7266,1112.63,0.83,0.74,0.78,0.09,0.1808
,,,,,,,,
0.0,0.0,18.7509,1113.47,0.83,0.74,0.78,0.09,0.1714
,,,,,,,,
0.0,0.0,18.6787,1113.51,0.83,0.74,0.78,0.09,0.171
,,,,,,,,
0.0,0.0,18.7765,1113.46,0.83,0.74,0.78,0.09,0.1715
,,,,,,,,
0.0,0.0,18.6631,1113.52,0.83,0.74,0.78,0.09,0.1709
,,,,,,,,
0.0,0.0,18.7575,1113.47,0.83,0.74,0.78,0.09,0.1714
,,,,,,,,
0.0,0.0,18.7316,1113.48,0.83,0.74,0.78,0.09,0.1713
,,,,,,,,
0.0,0.0,18.704,1113.5,0.83,0.74,0.78,0.09,0.1711
,,,,,,,,
0.0,0.0,18.6985,1113.5,0.83,0.74,0.78,0.09,0.1711
,,,,,,,,
0.0,0.0,18.7084,1113.49,0.83,0.74,0.78,0.09,0.1712
,,,,,,,,
0.0,0.0,18.7137,1113.49,0.83,0.74,0.78,0.09,0.1712
,,,,,,,,
0.0,0.0,18.7466,1113.47,0.83,0.74,0.78,0.09,0.1714
,,,,,,,,
0.0,0.0,18.7353,1113.48,0.83,0.74,0.78,0.09,0.1713
,,,,,,,,
0.0,0.0,18.7661,1113.46,0.83,0.74,0.78,0.09,0.1715
,,,,,,,,
0.0,0.0,18.7854,1113.46,0.83,0.74,0.78,0.09,0.1716
,,,,,,,,
0.0,0.0,18.5955,1115.35,0.81,0.74,0.78,0.07,0.1706
,,,,,,,,
0.0,0.0,18.6942,1113.5,0.83,0.74,0.78,0.09,0.1711
,,,,,,,,
0.0,0.0,19.6931,1125.03,0.85,0.81,0.83,0.04,0.1763
,,,,,,,,
0.0,0.0,18.6488,1113.53,0.83,0.74,0.78,0.09,0.1708
,,,,,,,,
0.0,0.0,18.6282,1115.34,0.81,0.74,0.78,0.07,0.1707
,,,,,,,,
0.0,0.0,18.6643,1113.52,0.83,0.74,0.78,0.09,0.1709
,,,,,,,,
0.0,0.0,18.761,1113.46,0.83,0.74,0.78,0.09,0.1715
,,,,,,,,
0.0,0.0,18.7637,1113.46,0.83,0.74,0.78,0.09,0.1715
,,,,,,,,
0.0,0.0,18.7035,1113.5,0.83,0.74,0.78,0.09,0.1711
,,,,,,,,
0.0,0.0,18.6326,1115.33,0.81,0.74,0.78,0.07,0.1708
,,,,,,,,
0.0,0.298,18.689,1112.61,0.83,0.74,0.78,0.09,0.181
,,,,,,,,
0.0,0.0,18.7007,1113.5,0.83,0.74,0.78,0.09,0.1711
,,,,,,,,
0.0,0.0,18.7346,1113.48,0.83,0.74,0.78,0.09,0.1713
,,,,,,,,
0.0,0.0,18.6463,1113.53,0.83,0.74,0.78,0.09,0.1708
,,,,,,,,
0.0,0.0,18.6824,1113.51,0.83,0.74,0.78,0.09,0.171
,,,,,,,,
0.0,0.0,18.6955,1113.5,0.83,0.74,0.78,0.09,0.1711
,,,,,,,,
0.0,0.0,18.6542,1113.52,0.83,0.74,0.78,0.09,0.1709
,,,,,,,,
0.0,0.0,18.7547,1113.47,0.83,0.74,0.78,0.09,0.1714
,,,,,,,,
0.0,0.2982,19.2963,1116.21,0.84,0.76,0.8,0.08,0.1843
,,,,,,,,
0.0,0.0,18.6691,1113.51,0.83,0.74,0.78,0.09,0.171
,,,,,,,,
0.0,0.0,18.639,1115.33,0.81,0.74,0.78,0.07,0.1708
,,,,,,,,
0.0,0.0,18.71,1113.49,0.83,0.74,0.78,0.09,0.1712
,,,,,,,,
0.0,0.0,18.7001,1113.5,0.83,0.74,0.78,0.09,0.1711
,,,,,,,,
0.0,0.0,18.7181,1113.49,0.83,0.74,0.78,0.09,0.1712
,,,,,,,,
0.0,0.0,18.7807,1113.46,0.83,0.74,0.78,0.09,0.1716
,,,,,,,,
0.0,0.0,18.751,1113.47,0.83,0.74,0.78,0.09,0.1714
,,,,,,,,
0.0,0.0,18.784,1113.46,0.83,0.74,0.78,0.09,0.1716
,,,,,,,,
0.0,0.0,18.6286,1115.34,0.81,0.74,0.78,0.07,0.1707
,,,,,,,,
0.0,0.0,18.6205,1115.34,0.81,0.74,0.78,0.07,0.1707
,,,,,,,,
0.0,0.0,18.6446,1113.53,0.83,0.74,0.78,0.09,0.1708
,,,,,,,,
0.0,0.0,18.5848,1112.06,0.81,0.72,0.77,0.09,0.1705
,,,,,,,,
0.0,0.0,18.7014,1113.5,0.83,0.74,0.78,0.09,0.1711
,,,,,,,,
0.0,0.0,18.725,1113.48,0.83,0.74,0.78,0.09,0.1713
,,,,,,,,
0.0,0.0,19.403,1121.86,0.85,0.79,0.82,0.06,0.1749
,,,,,,,,
0.0,0.0,18.7271,1113.48,0.83,0.74,0.78,0.09,0.1713
,,,,,,,,
0.0,0.0,18.7247,1113.48,0.83,0.74,0.78,0.09,0.1713
,,,,,,,,
0.0,0.2918,18.6948,1112.63,0.83,0.74,0.78,0.09,0.1808
,,,,,,,,
0.0,0.2988,18.6615,1112.62,0.83,0.74,0.78,0.09,0.1809
,,,,,,,,
0.0,0.0,18.7635,1113.46,0.83,0.74,0.78,0.09,0.1715
,,,,,,,,
0.0,0.0,18.6602,1113.52,0.83,0.74,0.78,0.09,0.1709
,,,,,,,,
0.0,0.0,19.3882,1116.17,0.85,0.76,0.8,0.09,0.1748
,,,,,,,,
0.0,0.0,18.648,1113.53,0.83,0.74,0.78,0.09,0.1708
,,,,,,,,
0.0,0.0,18.7454,1113.47,0.83,0.74,0.78,0.09,0.1714
,,,,,,,,
0.0,0.0,19.364,1116.18,0.85,0.76,0.8,0.09,0.1747
,,,,,,,,
0.0,0.0,18.764,1113.46,0.83,0.74,0.78,0.09,0.1715
,,,,,,,,
0.0,0.0,18.6717,1113.51,0.83,0.74,0.78,0.09,0.171
,,,,,,,,
0.0,0.0,18.6292,1115.34,0.81,0.74,0.78,0.07,0.1707
,,,,,,,,
0.0,0.0,18.714,1113.49,0.83,0.74,0.78,0.09,0.1712
,,,,,,,,
0.0,0.0,18.7152,1113.49,0.83,0.74,0.78,0.09,0.1712
,,,,,,,,
0.0,0.0,18.6288,1115.34,0.81,0.74,0.78,0.07,0.1707
,,,,,,,,
0.0,0.0,18.6424,1113.53,0.83,0.74,0.78,0.09,0.1708
,,,,,,,,
0.0,0.0,18.5948,1115.35,0.81,0.74,0.78,0.07,0.1705
,,,,,,,,
0.0,0.0,18.7094,1113.49,0.83,0.74,0.78,0.09,0.1712
,,,,,,,,
0.0,0.2817,18.6713,1112.66,0.83,0.74,0.78,0.09,0.1804
,,,,,,,,
0.0,0.0,18.6881,1113.51,0.83,0.74,0.78,0.09,0.171
,,,,,,,,
0.0,0.0,18.6833,1113.51,0.83,0.74,0.78,0.09,0.171
,,,,,,,,
0.0,0.0,19.3268,1116.2,0.85,0.76,0.8,0.09,0.1745
,,,,,,,,
0.0,0.0,18.7647,1113.46,0.83,0.74,0.78,0.09,0.1715
,,,,,,,,
0.0,0.2912,19.4528,1120.97,0.85,0.79,0.82,0.06,0.1848
,,,,,,,,
0.0,0.0,18.6342,1115.33,0.81,0.74,0.78,0.07,0.1708
,,,,,,,,
0.0,0.0,19.4151,1121.86,0.85,0.79,0.82,0.06,0.1749
