capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
5526.0,0.0,2.0,1135.22,0.95,0.98,0.96,0.03,1.0,1.0,1.0,0.0,0.1788
9308,7.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
5543.0,0.0,0.0,,,,,,,,,,
2931.0,2.0,1.0,1136.79,0.88,0.88,0.88,0.0,1.0,1.0,1.0,0.0,0.0828
7987,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
-7297.0,3.0,0.0,,,,,,,,,,
5082.0,6.0,3.0,,,,,,,,,,
2754.0,6.0,3.0,1156.3,0.95,0.98,0.96,0.03,1.0,1.0,1.0,0.0,0.1501
9037,6.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
8239,3.0,5.0,,,,,,,,,,
7619.0,6.0,4.0,1199.55,0.9,0.94,0.92,0.04,2.0,2.0,2.0,0.0,0.1086
3424.0,2.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
8759,1.0,1.0,,,,,,,,,,
2060.0,5.0,2.0,,,,,,,,,,
-2732.0,-1.0,0.0,1156.81,0.94,0.97,0.95,0.03,1.0,1.0,1.0,0.0,0.1288
7048.0,4.0,7.0,,,,,,,,,,
,,,,,,,,,,,,
3740.0,11.0,2.0,,,,,,,,,,
7132.0,5.0,2.0,1129.41,0.89,0.92,0.91,0.03,1.0,1.0,1.0,0.0,0.2199
7836,8.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
135.0,0.0,1.0,,,,,,,,,,
3479.0,5.0,0.0,,,,,,,,,,
7761,0.0,1.0,1153.68,0.85,0.85,0.85,0.0,1.0,1.0,1.0,0.0,0.1114
2035.0,3.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
4775.0,10.0,4.0,,,,,,,,,,
9139,23.0,2.0,,,,,,,,,,
3103.0,-1.0,2.0,1156.43,0.98,1.0,0.99,0.02,1.0,1.0,1.0,0.0,0.1904
3906.0,-1.0,4.0,,,,,,,,,,
,,,,,,,,,,,,
1613.0,3.0,1.0,,,,,,,,,,
797.0,0.0,0.0,1136.66,0.88,0.88,0.88,0.0,1.0,1.0,1.0,0.0,0.0771
7854,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
5711.0,2.0,2.0,,,,,,,,,,
8073,10.0,5.0,,,,,,,,,,
4722.0,11.0,3.0,1152.38,0.92,0.96,0.94,0.04,1.0,1.0,1.0,0.0,0.1965
5754.0,9.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
9283,0.0,2.0,,,,,,,,,,
2880.0,1.0,1.0,1144.38,0.94,0.96,0.95,0.02,1.0,1.0,1.0,0.0,0.1375
5190.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
5337.0,0.0,0.0,,,,,,,,,,
6071.0,2.0,1.0,1135.16,0.84,0.84,0.84,0.0,1.0,1.0,1.0,0.0,0.0892
7711,3.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
8208,4.0,6.0,,,,,,,,,,
6180.0,1.0,6.0,,,,,,,,,,
