FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
1.4802,4.6918,6.7783,1140.43,0.72,0.78,0.75,0.06,0.1852
,,,,,,,,
0.0,0.291,1.7856,,,,,,
0.2954,0.5869,2.6733,,,,,,
0.0,1.1545,2.6637,1197.05,0.8,0.72,0.76,0.08,0.1083
1.1769,3.5484,12.059,,,,,,
,,,,,,,,
0.5914,0.0,0.889,,,,,,
0.2902,0.59,0.8949,1174.66,0.84,0.75,0.79,0.09,0.1193
1.1788,2.6545,16.5958,,,,,,
,,,,,,,,
0.2854,0.5905,0.0,,,,,,
0.5886,0.8872,5.274,1179.17,0.8,0.78,0.79,0.02,0.1392
1.7848,2.9295,12.5136,,,,,,
,,,,,,,,
0.0,0.0,0.8866,,,,,,
0.0,0.5979,0.0,,,,,,
0.2991,0.8711,1.7396,1204.52,0.76,0.75,0.76,0.01,0.0953
0.5831,4.9676,11.3927,,,,,,
,,,,,,,,
0.0,0.2993,0.8908,,,,,,
0.2989,0.5964,0.0,,,,,,
0.5925,0.8937,5.3086,1197.03,0.8,0.72,0.76,0.08,0.1086
0.872,2.6694,16.1038,,,,,,
,,,,,,,,
0.2988,0.2951,0.7754,,,,,,
2.5839,0.2693,1.7833,1176.42,0.76,0.75,0.76,0.01,0.1298
0.8927,4.0813,8.9531,,,,,,
,,,,,,,,
0.0,0.0,0.8879,,,,,,
0.2902,0.2966,1.7605,,,,,,
0.0,0.8872,2.6851,1204.37,0.76,0.75,0.76,0.01,0.097
1.4722,3.5529,11.3931,,,,,,
,,,,,,,,
0.0,0.0,0.8981,,,,,,
0.0,1.1897,2.6826,,,,,,
0.0,1.1637,2.6822,1206.55,0.84,0.78,0.81,0.06,0.1061
1.1697,2.9486,14.0508,,,,,,
,,,,,,,,
0.0,0.2961,0.8705,,,,,,
0.5857,1.7809,4.4338,,,,,,
0.8307,1.466,3.5687,1206.73,0.8,0.84,0.82,0.04,0.1408
2.898,4.1385,8.0166,,,,,,
,,,,,,,,
0.0,0.0,1.7457,,,,,,
0.0,0.2948,2.6649,1178.17,0.76,0.75,0.76,0.01,0.1103
2.3478,2.9665,9.7592,,,,,,
,,,,,,,,
5.0748,1.7615,0.0,,,,,,
0.0,0.0,1.753,,,,,,
0.0,0.5912,0.8968,1206.76,0.76,0.75,0.76,0.01,0.0705
0.2846,0.2948,0.8792,,,,,,
,,,,,,,,
0.0,0.0,1.7948,,,,,,
0.2976,1.1849,3.5613,,,,,,
0.5912,0.8959,3.5468,1196.49,0.8,0.72,0.76,0.08,0.1146
