capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
9248,37.0,3.0,1047.41,1.0,1.0,1.0,0.0,0.2999
,,,,,,,,
7991,3.0,0.0,1058.18,0.91,0.92,0.92,0.01,0.0368
,,,,,,,,
9790,6.0,2.0,1047.37,0.96,0.97,0.96,0.01,0.2192
,,,,,,,,
9921,0.0,0.0,1059.31,0.97,0.98,0.97,0.01,0.0331
,,,,,,,,
9591,16.0,2.0,1046.98,0.98,0.99,0.98,0.01,0.2525
,,,,,,,,
7860,16.0,2.0,1045.42,0.92,0.94,0.93,0.02,0.2467
,,,,,,,,
9745,13.0,3.0,1050.09,0.97,0.99,0.98,0.02,0.221
,,,,,,,,
8223,6.0,2.0,1049.5,0.92,0.95,0.94,0.03,0.214
,,,,,,,,
7788,6.0,2.0,1047.23,0.9,0.9,0.9,0.0,0.2126
,,,,,,,,
8338,13.0,2.0,1046.98,0.97,0.98,0.97,0.01,0.2382
,,,,,,,,
8619,9.0,0.0,1060.35,0.98,0.99,0.98,0.01,0.0592
,,,,,,,,
9058,3.0,3.0,1052.29,0.95,0.96,0.95,0.01,0.1848
,,,,,,,,
9557,0.0,0.0,1059.16,0.97,0.98,0.97,0.01,0.0319
,,,,,,,,
8670,17.0,3.0,1047.78,0.98,0.99,0.98,0.01,0.231
,,,,,,,,
7752,1.0,0.0,1058.03,0.9,0.91,0.91,0.01,0.0292
,,,,,,,,
9410,22.0,5.0,1053.85,0.99,0.99,0.99,0.0,0.2088
,,,,,,,,
8357,9.0,0.0,1058.6,0.98,0.99,0.98,0.01,0.0584
,,,,,,,,
9188,26.0,1.0,1048.27,0.99,1.0,0.99,0.01,0.3069
,,,,,,,,
10027,15.0,2.0,1050.12,0.97,0.99,0.98,0.02,0.2506
,,,,,,,,
8605,4.0,1.0,1051.27,0.96,0.96,0.96,0.0,0.2306
,,,,,,,,
10101,7.0,1.0,1049.91,0.96,0.98,0.97,0.02,0.2458
,,,,,,,,
9052,7.0,0.0,1060.07,0.97,0.99,0.98,0.02,0.0539
,,,,,,,,
9725,8.0,1.0,1050.37,0.97,0.98,0.97,0.01,0.2479
,,,,,,,,
10347,14.0,2.0,1050.33,0.97,0.99,0.98,0.02,0.2482
,,,,,,,,
9964,9.0,3.0,1052.34,0.97,0.98,0.97,0.01,0.2082
,,,,,,,,
9656,31.0,8.0,1053.4,1.0,1.0,1.0,0.0,0.1866
,,,,,,,,
10190,0.0,2.0,1051.64,0.95,0.96,0.95,0.01,0.2002
,,,,,,,,
7989,8.0,0.0,1058.51,0.93,0.94,0.94,0.01,0.0538
,,,,,,,,
8140,8.0,3.0,1050.76,0.93,0.95,0.94,0.02,0.1987
,,,,,,,,
8044,8.0,2.0,1047.66,0.93,0.95,0.94,0.02,0.2202
,,,,,,,,
10449,6.0,3.0,1052.37,0.96,0.98,0.97,0.02,0.1996
,,,,,,,,
7990,4.0,1.0,1045.23,0.89,0.89,0.89,0.0,0.2286
,,,,,,,,
7835,12.0,1.0,1046.77,0.91,0.93,0.92,0.02,0.2552
,,,,,,,,
8692,2.0,1.0,1050.54,0.95,0.96,0.95,0.01,0.2241
,,,,,,,,
8698,10.0,2.0,1047.52,0.97,0.98,0.97,0.01,0.2292
,,,,,,,,
8303,4.0,0.0,1060.79,0.97,0.98,0.97,0.01,0.0412
,,,,,,,,
8242,6.0,0.0,1058.86,0.94,0.96,0.95,0.02,0.0478
,,,,,,,,
7980,3.0,0.0,1056.04,0.91,0.92,0.92,0.01,0.0368
,,,,,,,,
8192,0.0,1.0,1044.83,0.91,0.94,0.93,0.03,0.2157
,,,,,,,,
9719,14.0,1.0,1049.31,0.97,0.99,0.98,0.02,0.2682
,,,,,,,,
10443,6.0,1.0,1049.95,0.96,0.98,0.97,0.02,0.2435
,,,,,,,,
8203,8.0,1.0,1048.47,0.93,0.95,0.94,0.02,0.2428
,,,,,,,,
8554,11.0,1.0,1050.14,0.97,0.98,0.97,0.01,0.2542
,,,,,,,,
10317,11.0,2.0,1050.76,0.97,0.98,0.97,0.01,0.2379
,,,,,,,,
8569,0.0,1.0,1050.9,0.95,0.96,0.95,0.01,0.2169
,,,,,,,,
8286,0.0,0.0,1061.42,0.96,0.96,0.96,0.0,0.0276
,,,,,,,,
8387,5.0,1.0,1050.64,0.96,0.97,0.96,0.01,0.2333
,,,,,,,,
8270,13.0,1.0,1048.37,0.95,0.97,0.96,0.02,0.26
,,,,,,,,
10238,0.0,0.0,1061.14,0.97,0.98,0.97,0.01,0.0341
,,,,,,,,
8036,11.0,0.0,1058.6,0.95,0.97,0.96,0.02,0.0641
,,,,,,,,
9927,3.0,0.0,1060.68,0.97,0.98,0.97,0.01,0.0433
,,,,,,,,
7863,11.0,3.0,1046.67,0.9,0.92,0.91,0.02,0.2079
,,,,,,,,
7850,8.0,2.0,1046.82,0.9,0.91,0.91,0.01,0.2195
,,,,,,,,
7978,6.0,1.0,1047.7,0.9,0.9,0.9,0.0,0.2353
,,,,,,,,
8562,3.0,0.0,1060.91,0.97,0.98,0.97,0.01,0.0387
,,,,,,,,
7749,2.0,0.0,1056.64,0.91,0.92,0.92,0.01,0.0326
,,,,,,,,
8136,5.0,3.0,1048.65,0.92,0.94,0.93,0.02,0.1885
,,,,,,,,
7712,6.0,0.0,1056.1,0.88,0.88,0.88,0.0,0.046
,,,,,,,,
8338,6.0,1.0,1050.47,0.96,0.97,0.96,0.01,0.2365
,,,,,,,,
8534,9.0,0.0,1060.27,0.98,0.99,0.98,0.01,0.0589
,,,,,,,,
8572,23.0,4.0,,,,,,
7080.0,4.0,1.0,1062.99,0.99,0.99,0.99,0.0,0.2276
,,,,,,,,
8343,0.0,0.0,1061.96,0.97,0.97,0.97,0.0,0.0278
,,,,,,,,
7652,8.0,1.0,1037.3,0.8,0.74,0.77,0.06,0.241
,,,,,,,,
8801,18.0,3.0,1051.66,0.98,0.99,0.98,0.01,0.2348
,,,,,,,,
8716,11.0,0.0,1060.08,0.98,0.99,0.98,0.01,0.0664
,,,,,,,,
8292,0.0,0.0,1061.42,0.96,0.96,0.96,0.0,0.0276
,,,,,,,,
8529,3.0,1.0,1050.4,0.95,0.96,0.95,0.01,0.227
,,,,,,,,
9610,0.0,1.0,1050.73,0.95,0.96,0.95,0.01,0.2204
,,,,,,,,
8560,3.0,1.0,1050.4,0.95,0.96,0.95,0.01,0.2271
,,,,,,,,
8764,0.0,0.0,1061.39,0.97,0.98,0.97,0.01,0.0292
,,,,,,,,
8449,0.0,2.0,1051.93,0.95,0.96,0.95,0.01,0.1944
,,,,,,,,
7701,0.0,0.0,1051.82,0.84,0.8,0.82,0.04,0.0257
,,,,,,,,
8298,0.0,0.0,1061.96,0.97,0.97,0.97,0.0,0.0277
,,,,,,,,
8540,2.0,0.0,1061.09,0.97,0.98,0.97,0.01,0.0352
,,,,,,,,
8451,6.0,0.0,1060.42,0.97,0.98,0.97,0.01,0.0485
,,,,,,,,
8744,0.0,1.0,1050.87,0.95,0.96,0.95,0.01,0.2175
,,,,,,,,
7721,11.0,0.0,1055.85,0.89,0.9,0.9,0.01,0.063
,,,,,,,,
8728,5.0,0.0,1060.54,0.97,0.98,0.97,0.01,0.0461
,,,,,,,,
7976,3.0,0.0,1058.26,0.91,0.92,0.92,0.01,0.0368
,,,,,,,,
8558,0.0,0.0,1061.82,0.97,0.97,0.97,0.0,0.0285
,,,,,,,,
8864,3.0,0.0,1060.86,0.97,0.98,0.97,0.01,0.0397
,,,,,,,,
8379,6.0,0.0,1060.43,0.97,0.98,0.97,0.01,0.0483
,,,,,,,,
8238,10.0,2.0,1049.22,0.93,0.95,0.94,0.02,0.2276
,,,,,,,,
8552,0.0,0.0,1061.92,0.97,0.97,0.97,0.0,0.0285
,,,,,,,,
8623,0.0,0.0,1061.91,0.97,0.97,0.97,0.0,0.0287
,,,,,,,,
8682,0.0,1.0,1050.88,0.95,0.96,0.95,0.01,0.2173
,,,,,,,,
10361,2.0,0.0,1060.78,0.97,0.98,0.97,0.01,0.0413
,,,,,,,,
8425,11.0,0.0,1060.13,0.98,0.99,0.98,0.01,0.0654
,,,,,,,,
8360,0.0,0.0,1061.95,0.97,0.97,0.97,0.0,0.0279
,,,,,,,,
8464,0.0,1.0,1050.92,0.95,0.96,0.95,0.01,0.2166
,,,,,,,,
8719,0.0,0.0,1061.4,0.97,0.98,0.97,0.01,0.0291
,,,,,,,,
8139,0.0,0.0,1059.34,0.93,0.95,0.94,0.02,0.0271
,,,,,,,,
8552,3.0,0.0,1060.91,0.97,0.98,0.97,0.01,0.0387
,,,,,,,,
7932,2.0,1.0,1046.82,0.88,0.87,0.88,0.01,0.2216
,,,,,,,,
8176,0.0,0.0,1059.33,0.93,0.95,0.94,0.02,0.0273
,,,,,,,,
8775,0.0,0.0,1061.38,0.97,0.98,0.97,0.01,0.0293
,,,,,,,,
8103,0.0,0.0,1059.35,0.93,0.95,0.94,0.02,0.027
,,,,,,,,
8151,0.0,0.0,1059.34,0.93,0.95,0.94,0.02,0.0272
,,,,,,,,
9743,2.0,0.0,1060.89,0.97,0.98,0.97,0.01,0.0392
,,,,,,,,
10012,9.0,0.0,1060.2,0.98,0.99,0.98,0.01,0.0639
,,,,,,,,
10314,14.0,1.0,1049.39,0.97,0.99,0.98,0.02,0.2702
,,,,,,,,
7836,6.0,0.0,1057.82,0.92,0.94,0.93,0.02,0.0465
,,,,,,,,
8676,0.0,0.0,1061.9,0.97,0.97,0.97,0.0,0.0289
,,,,,,,,
8618,0.0,0.0,1061.91,0.97,0.97,0.97,0.0,0.0287
,,,,,,,,
8502,3.0,0.0,1060.64,0.97,0.98,0.97,0.01,0.0385
,,,,,,,,
8699,11.0,0.0,1060.08,0.98,0.99,0.98,0.01,0.0663
,,,,,,,,
7720,0.0,0.0,1051.82,0.84,0.8,0.82,0.04,0.0257
,,,,,,,,
8573,6.0,0.0,1060.4,0.97,0.98,0.97,0.01,0.0489
,,,,,,,,
8897,0.0,0.0,1061.36,0.97,0.98,0.97,0.01,0.0297
,,,,,,,,
10334,0.0,0.0,1061.13,0.97,0.98,0.97,0.01,0.0344
,,,,,,,,
