capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
8695,3.0,2.0,,,,,,
5824.0,0.0,0.0,1070.66,0.96,0.97,0.96,0.01,0.0791
2691.0,0.0,0.0,,,,,,
,,,,,,,,
6188.0,5.0,5.0,,,,,,
8665,-6.0,8.0,,,,,,
4987.0,0.0,0.0,1085.56,0.97,0.98,0.97,0.01,0.069
1792.0,3.0,0.0,,,,,,
,,,,,,,,
8474,3.0,0.0,1060.06,0.98,0.98,0.98,0.0,0.0384
,,,,,,,,
6721.0,0.0,2.0,,,,,,
8949,10.0,5.0,,,,,,
4361.0,18.0,5.0,1077.68,0.97,0.98,0.97,0.01,0.1414
802.0,6.0,0.0,,,,,,
,,,,,,,,
9345,9.0,2.0,,,,,,
2768.0,2.0,1.0,,,,,,
0.0,1.0,0.0,1096.28,0.97,0.98,0.97,0.01,0.1315
1709.0,3.0,1.0,,,,,,
0.0,2.0,0.0,,,,,,
,,,,,,,,
7782,11.0,3.0,,,,,,
4052.0,2.0,0.0,,,,,,
273.0,2.0,0.0,1079.06,0.92,0.91,0.92,0.01,0.0671
2733.0,6.0,0.0,,,,,,
,,,,,,,,
8492,18.0,1.0,,,,,,
781.0,2.0,0.0,1074.45,0.98,0.99,0.98,0.01,0.1098
5536.0,6.0,0.0,,,,,,
,,,,,,,,
8758,0.0,1.0,,,,,,
3533.0,0.0,1.0,,,,,,
2819.0,1.0,2.0,1096.32,0.96,0.96,0.96,0.0,0.1295
2753.0,3.0,0.0,,,,,,
0.0,6.0,0.0,,,,,,
,,,,,,,,
5538.0,7.0,1.0,,,,,,
8042,0.0,0.0,,,,,,
361.0,1.0,0.0,1094.58,0.94,0.95,0.94,0.01,0.1325
933.0,0.0,1.0,,,,,,
806.0,2.0,1.0,,,,,,
,,,,,,,,
7935,0.0,2.0,,,,,,
-2010.0,9.0,0.0,,,,,,
0.0,2.0,0.0,1095.94,0.89,0.88,0.89,0.01,0.0501
2854.0,-1.0,0.0,,,,,,
1171.0,0.0,0.0,,,,,,
,,,,,,,,
8512,4.0,0.0,1059.88,0.98,0.98,0.98,0.0,0.0419
,,,,,,,,
2995.0,4.0,0.0,,,,,,
2374.0,5.0,1.0,,,,,,
9020,1.0,2.0,1096.18,0.96,0.96,0.96,0.0,0.1324
2291.0,0.0,1.0,,,,,,
1499.0,4.0,0.0,,,,,,
,,,,,,,,
7628.0,2.0,2.0,,,,,,
9822,2.0,1.0,1075.99,0.97,0.97,0.97,0.0,0.1471
2277.0,0.0,0.0,,,,,,
,,,,,,,,
8354,4.0,0.0,,,,,,
