FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
0.7914,3.4877,10.8784,,,,,,
4.0566,4.2785,7.6973,,,,,,
3.0379,2.1915,7.5819,1076.04,0.96,0.89,0.93,0.07,0.2583
1.1306,2.1968,8.5276,,,,,,
,,,,,,,,
0.5869,2.332,8.7879,,,,,,
0.938,1.9629,4.2158,,,,,,
3.4859,0.8201,8.2645,1089.15,0.96,0.89,0.93,0.07,0.2126
0.2835,2.5305,11.2621,,,,,,
3.6781,4.3728,5.1705,,,,,,
,,,,,,,,
0.7647,1.7633,10.724,,,,,,
2.2061,3.6787,12.4953,,,,,,
2.2616,2.8153,9.8397,1072.72,0.85,0.79,0.82,0.06,0.2346
2.8683,2.0794,1.593,,,,,,
,,,,,,,,
0.1257,2.5745,6.2029,,,,,,
3.3843,3.6304,9.8532,1066.18,0.89,0.84,0.86,0.05,0.2085
2.5612,1.5487,1.4692,,,,,,
,,,,,,,,
0.692,2.5772,13.0841,,,,,,
4.3364,3.8737,9.0454,,,,,,
3.1146,3.5424,8.923,1073.79,0.93,0.84,0.89,0.09,0.2559
2.2517,1.3806,1.8067,,,,,,
,,,,,,,,
0.0,1.7178,10.3405,,,,,,
3.1336,3.38,4.4084,,,,,,
1.0061,0.867,4.9776,1073.46,0.78,0.74,0.76,0.04,0.1586
1.0513,1.4996,1.6507,,,,,,
,,,,,,,,
0.2621,2.0596,5.5011,,,,,,
1.9554,2.3204,9.7747,1060.49,0.81,0.74,0.78,0.07,0.1871
2.497,1.3894,5.3539,,,,,,
,,,,,,,,
0.2893,2.7903,8.2001,,,,,,
3.3971,3.2056,5.2065,1049.35,0.81,0.74,0.78,0.07,0.2251
,,,,,,,,
0.242,1.8508,15.9616,,,,,,
3.6824,2.0949,5.6894,,,,,,
1.8488,3.4184,6.9663,1073.77,0.85,0.79,0.82,0.06,0.201
1.7619,0.28,3.0055,,,,,,
,,,,,,,,
1.4437,5.9342,15.0232,,,,,,
1.689,1.4653,10.5645,,,,,,
2.5183,3.2112,5.3945,1083.68,0.93,0.84,0.89,0.09,0.2693
2.9916,0.3074,11.3041,,,,,,
3.0415,3.7417,10.6497,,,,,,
,,,,,,,,
0.2558,2.0482,7.7049,,,,,,
3.1742,1.9212,5.2996,1060.42,0.81,0.74,0.78,0.07,0.1589
0.7477,0.5213,4.8017,,,,,,
,,,,,,,,
1.1876,2.6367,10.0325,,,,,,
2.3095,3.1649,7.7874,,,,,,
0.9084,2.2838,4.4025,1088.44,0.96,0.89,0.93,0.07,0.2302
1.286,1.517,5.7907,,,,,,
3.7078,5.2237,8.6842,,,,,,
,,,,,,,,
0.4535,3.7776,7.883,,,,,,
3.589,2.1089,10.872,,,,,,
3.0851,2.2716,10.0024,1085.63,0.89,0.84,0.86,0.05,0.2292
2.6045,1.9796,7.4906,,,,,,
2.7457,1.2307,0.0,,,,,,
,,,,,,,,
0.4872,3.0193,9.2472,,,,,,
2.771,1.4754,5.6939,,,,,,
1.42,2.721,6.4275,1083.8,0.85,0.79,0.82,0.06,0.2074
3.6235,2.5272,7.3382,,,,,,
2.061,2.2799,0.8969,,,,,,
,,,,,,,,
0.0,4.251,9.4909,,,,,,
3.1551,3.9465,7.9513,,,,,,
3.4215,3.3205,10.0122,1085.54,0.96,0.89,0.93,0.07,0.3028
2.9808,4.5013,8.5254,,,,,,
4.4125,3.4643,9.3877,,,,,,
,,,,,,,,
0.7683,2.65,8.906,,,,,,
2.1014,3.7041,13.217,,,,,,
2.7431,1.6754,13.1241,1083.88,0.85,0.79,0.82,0.06,0.2055
2.1905,1.1728,5.1798,,,,,,
1.7536,0.5851,0.0,,,,,,
,,,,,,,,
0.5935,1.9934,4.6843,,,,,,
4.4743,1.6175,2.0671,,,,,,
1.2175,1.3975,2.2185,1072.67,0.78,0.74,0.76,0.04,0.1431
1.834,0.834,1.7615,,,,,,
,,,,,,,,
1.7003,3.8912,11.3647,,,,,,
3.6738,3.0201,10.7133,,,,,,
3.4342,2.434,4.9408,1084.17,0.89,0.84,0.86,0.05,0.2657
2.8217,2.2454,8.9003,,,,,,
2.9668,2.6432,3.6855,,,,,,
,,,,,,,,
0.6169,3.4333,10.0672,,,,,,
3.4806,2.1415,4.7653,,,,,,
1.2914,1.3552,3.2644,1087.63,0.96,0.89,0.93,0.07,0.2505
3.2513,4.3033,9.3755,,,,,,
3.3988,4.8256,7.8168,,,,,,
,,,,,,,,
0.4892,2.9554,8.0839,,,,,,
3.0808,3.8545,3.029,,,,,,
1.6224,1.5503,3.8319,1072.76,0.81,0.74,0.78,0.07,0.1616
0.3578,-0.018,3.9416,,,,,,
,,,,,,,,
0.1656,3.8391,7.9374,,,,,,
2.027,0.0705,3.8016,,,,,,
2.2791,3.6419,10.4197,1084.76,0.85,0.79,0.82,0.06,0.1835
1.6541,2.8319,6.6894,,,,,,
1.4731,1.2916,0.0,,,,,,
,,,,,,,,
1.6314,2.8593,15.1046,,,,,,
2.1752,3.4268,7.7272,,,,,,
3.4004,2.6315,8.141,1085.67,0.96,0.89,0.93,0.07,0.2996
3.2267,2.8655,13.9392,,,,,,
3.7708,4.6516,8.5718,,,,,,
,,,,,,,,
0.4486,2.001,6.9743,,,,,,
3.5505,3.0749,11.3596,,,,,,
3.6905,1.3289,8.2509,1085.55,0.89,0.84,0.86,0.05,0.2313
3.3636,2.5752,0.1758,,,,,,
-0.3897,4.4895,-10.7834,,,,,,
,,,,,,,,
0.7279,2.3854,11.0418,,,,,,
4.0057,1.8529,4.964,,,,,,
2.471,1.1083,3.9887,1084.76,0.81,0.79,0.8,0.02,0.206
1.4377,1.8342,5.4969,,,,,,
2.7074,1.8391,9.2603,,,,,,
,,,,,,,,
0.8624,4.928,11.4108,,,,,,
3.8107,3.3409,15.2818,,,,,,
3.7474,5.7173,7.8194,1085.0,0.96,0.89,0.93,0.07,0.3163
3.8271,3.1811,13.9228,,,,,,
3.3931,2.4614,-2.2862,,,,,,
,,,,,,,,
0.2706,1.3631,3.0072,,,,,,
3.7648,2.1168,6.8056,,,,,,
2.3027,1.3138,4.9184,1073.84,0.85,0.79,0.82,0.06,0.1697
1.8161,1.4173,4.24,,,,,,
,,,,,,,,
0.0,1.4588,6.0433,,,,,,
3.0084,4.1645,10.5182,,,,,,
1.0966,3.7546,10.2993,1085.06,0.93,0.84,0.89,0.09,0.2347
4.2225,2.2977,4.1239,,,,,,
3.7161,2.2745,2.6208,,,,,,
,,,,,,,,
1.4811,4.1724,7.721,,,,,,
1.8857,2.3219,5.2542,,,,,,
1.1524,1.3939,8.1994,1088.37,0.96,0.89,0.93,0.07,0.2321
1.7,1.3236,4.2727,,,,,,
3.3405,6.8238,9.7894,,,,,,
,,,,,,,,
1.5639,4.0192,8.4493,,,,,,
3.1011,2.6185,7.1214,,,,,,
1.8094,1.2469,5.3021,1088.0,0.96,0.89,0.93,0.07,0.2412
1.5673,1.7186,8.2642,,,,,,
4.2912,5.5737,2.8324,,,,,,
,,,,,,,,
0.9688,3.0759,8.2551,,,,,,
0.0792,0.7575,5.0594,,,,,,
0.7883,0.7068,5.1724,1073.87,0.85,0.79,0.82,0.06,0.164
2.1477,4.692,3.8836,,,,,,
,,,,,,,,
1.9399,2.9413,7.3582,,,,,,
1.8849,1.331,5.3492,,,,,,
1.5657,1.2901,2.8674,1082.07,0.81,0.74,0.78,0.07,0.1832
1.2412,0.4737,7.6416,,,,,,
3.1082,3.7995,2.9314,,,,,,
,,,,,,,,
0.7739,2.9634,8.3904,,,,,,
2.8464,3.3566,7.6391,,,,,,
3.6738,2.3667,5.3962,1083.82,0.85,0.79,0.82,0.06,0.2071
2.7163,1.4269,2.5106,,,,,,
1.9627,1.9844,0.4593,,,,,,
,,,,,,,,
0.5867,1.7416,8.1168,,,,,,
1.0495,2.2725,11.8876,,,,,,
3.8272,2.3168,7.7655,1084.08,0.85,0.79,0.82,0.06,0.2006
2.1181,1.0942,7.5929,,,,,,
1.9398,2.2195,0.8632,,,,,,
,,,,,,,,
0.0,3.6195,6.9767,,,,,,
3.69,2.4086,6.4217,,,,,,
2.533,3.0702,3.5485,1073.34,0.85,0.79,0.82,0.06,0.2031
2.5303,0.8811,2.8153,,,,,,
,,,,,,,,
1.4524,6.5457,13.0022,,,,,,
4.417,3.7071,7.3749,,,,,,
2.899,3.9612,14.424,1082.75,0.93,0.84,0.89,0.09,0.2925
2.6323,3.05,5.6691,,,,,,
2.3648,0.4935,8.7183,,,,,,
,,,,,,,,
0.2787,6.0041,7.5626,,,,,,
3.7513,1.1745,10.2806,,,,,,
3.7497,2.784,9.123,1081.66,0.85,0.79,0.82,0.06,0.261
3.2458,1.7995,6.1775,,,,,,
2.7909,2.9014,5.7265,,,,,,
,,,,,,,,
1.6048,1.9614,5.1594,,,,,,
2.7453,1.8699,8.8577,,,,,,
2.3927,3.9397,5.4263,1085.14,0.89,0.84,0.86,0.05,0.2415
3.1564,3.7759,11.52,,,,,,
2.9164,1.8219,4.3982,,,,,,
,,,,,,,,
1.8454,2.8714,9.1727,,,,,,
1.777,2.9703,2.6283,,,,,,
2.3244,1.9882,4.31,1081.38,0.81,0.74,0.78,0.07,0.2005
0.9605,1.4968,5.2984,,,,,,
3.0832,3.5052,3.9742,,,,,,
,,,,,,,,
1.1808,2.9184,8.3921,,,,,,
1.9418,2.771,4.8998,,,,,,
0.4645,0.7965,2.0441,1082.98,0.78,0.74,0.76,0.04,0.1706
2.0007,1.4185,3.0566,,,,,,
1.1919,4.3696,4.6799,,,,,,
,,,,,,,,
2.1483,4.2202,6.1507,,,,,,
2.6841,2.4356,5.8907,,,,,,
2.481,2.0201,4.592,1083.44,0.85,0.79,0.82,0.06,0.2166
2.1861,1.862,5.8552,,,,,,
1.6501,3.4351,3.4788,,,,,,
,,,,,,,,
2.2277,3.7282,10.2808,,,,,,
3.2289,2.9413,3.1934,,,,,,
2.7027,2.1583,4.7202,1083.04,0.85,0.79,0.82,0.06,0.2266
2.1907,1.3584,7.4256,,,,,,
2.2409,1.1144,8.4891,,,,,,
,,,,,,,,
0.9524,2.8515,2.2952,,,,,,
2.0741,1.7271,11.866,1050.16,0.81,0.74,0.78,0.07,0.1934
,,,,,,,,
1.7143,4.6001,6.7598,,,,,,
1.6087,1.9539,3.9789,,,,,,
1.5002,1.6965,3.3953,1083.18,0.85,0.79,0.82,0.06,0.2229
3.7651,2.5172,6.7774,,,,,,
2.3956,3.9004,7.0019,,,,,,
,,,,,,,,
3.6155,0.5769,3.3279,,,,,,
-3.2223,-0.3076,23.3815,1062.68,1.0,1.0,1.0,0.0,0.2183
,,,,,,,,
2.4606,2.3301,5.2751,,,,,,
2.4131,2.4383,13.0258,,,,,,
3.1812,2.6348,7.2126,1084.35,0.89,0.84,0.86,0.05,0.2612
3.2059,3.8203,10.275,,,,,,
4.0477,2.6185,0.8673,,,,,,
