capital-gain,hours-per-week,educational-num,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
2809.0,0.0,0.0,1207.1399999999999,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.2886
2584.0,0.0,1.0,,,,,,,,,,
5127.0,3.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
8751,2.0,3.0,,,,,,,,,,
0.0,-3.0,1.0,,,,,,,,,,
-1446.0,4.0,1.0,1206.1100000000001,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.2889
5473.0,0.0,1.0,,,,,,,,,,
2856.0,9.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
4080.0,2.0,5.0,,,,,,,,,,
9720,0.0,0.0,,,,,,,,,,
-1810.0,2.0,0.0,1221.97,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.1503
0.0,4.0,0.0,,,,,,,,,,
5810.0,0.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
10448,9.0,0.0,,,,,,,,,,
4484.0,6.0,1.0,,,,,,,,,,
5586.0,3.0,0.0,1214.1399999999999,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.2286
4662.0,3.0,1.0,,,,,,,,,,
0.0,0.0,12.0,,,,,,,,,,
,,,,,,,,,,,,
4202.0,15.0,1.0,,,,,,,,,,
9467,11.0,3.0,,,,,,,,,,
4889.0,5.0,2.0,1205.1,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.309
447.0,6.0,0.0,,,,,,,,,,
3089.0,6.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
44683.0,39.0,7.0,,,,,,,,,,
8819.0,24.0,6.0,,,,,,,,,,
10036,13.0,6.0,1276.01,0.99,1.0,0.99,0.01,3.0,3.0,3.0,0.0,0.4199
-2165.0,-7.0,4.0,,,,,,,,,,
5248.0,3.0,13.0,,,,,,,,,,
,,,,,,,,,,,,
6880.0,7.0,3.0,,,,,,,,,,
6416.0,6.0,4.0,,,,,,,,,,
3489.0,0.0,3.0,1205.69,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.2931
9722,1.0,1.0,,,,,,,,,,
2690.0,-1.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
10048,3.0,3.0,,,,,,,,,,
-401.0,4.0,1.0,,,,,,,,,,
2512.0,5.0,1.0,1179.77,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.3523
-2363.0,1.0,3.0,,,,,,,,,,
,,,,,,,,,,,,
8478,4.0,1.0,,,,,,,,,,
0.0,4.0,4.0,,,,,,,,,,
3610.0,2.0,1.0,1198.32,0.95,0.98,0.96,0.03,1.0,1.0,1.0,0.0,0.3468
0.0,0.0,1.0,,,,,,,,,,
0.0,2.0,3.0,,,,,,,,,,
,,,,,,,,,,,,
8978,0.0,1.0,,,,,,,,,,
2330.0,-3.0,0.0,,,,,,,,,,
0.0,0.0,1.0,1205.95,0.95,0.97,0.96,0.02,1.0,1.0,1.0,0.0,0.2805
1510.0,3.0,1.0,,,,,,,,,,
1546.0,3.0,4.0,,,,,,,,,,
,,,,,,,,,,,,
8304,0.0,1.0,,,,,,,,,,
5629.0,0.0,0.0,,,,,,,,,,
2286.0,0.0,1.0,1195.3600000000001,0.95,0.97,0.96,0.02,1.0,1.0,1.0,0.0,0.1864
4929.0,3.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
843.0,16.0,3.0,,,,,,,,,,
9667,3.0,8.0,,,,,,,,,,
5613.0,11.0,1.0,1199.79,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.3721
7375.0,0.0,1.0,,,,,,,,,,
0.0,8.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
4084.0,14.0,3.0,,,,,,,,,,
9452,11.0,0.0,,,,,,,,,,
5770.0,2.0,1.0,1213.43,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.2357
0.0,4.0,1.0,,,,,,,,,,
1467.0,3.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
-1226.0,13.0,6.0,,,,,,,,,,
9458,4.0,0.0,,,,,,,,,,
4231.0,1.0,1.0,1197.74,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.1926
1756.0,-1.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
8084,4.0,1.0,,,,,,,,,,
2885.0,0.0,0.0,,,,,,,,,,
2713.0,0.0,0.0,1199.81,0.92,0.96,0.94,0.04,1.0,1.0,1.0,0.0,0.1019
4826.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
10250,17.0,4.0,,,,,,,,,,
2567.0,5.0,2.0,,,,,,,,,,
2850.0,4.0,0.0,1195.94,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.2106
5011.0,8.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
1054.0,14.0,3.0,,,,,,,,,,
10013,-3.0,1.0,,,,,,,,,,
6825.0,6.0,2.0,1203.21,0.95,0.98,0.96,0.03,1.0,1.0,1.0,0.0,0.2979
2827.0,0.0,1.0,,,,,,,,,,
0.0,-5.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
8878,10.0,2.0,,,,,,,,,,
2169.0,2.0,0.0,,,,,,,,,,
2998.0,11.0,1.0,1211.96,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.2304
1426.0,7.0,2.0,,,,,,,,,,
0.0,1.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
6110.0,7.0,1.0,,,,,,,,,,
8006,0.0,0.0,,,,,,,,,,
0.0,0.0,2.0,1183.07,0.94,0.91,0.93,0.03,1.0,1.0,1.0,0.0,0.2693
0.0,3.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
8755,20.0,4.0,,,,,,,,,,
3157.0,3.0,6.0,,,,,,,,,,
4139.0,6.0,4.0,1199.25,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.3675
7128.0,3.0,2.0,,,,,,,,,,
1773.0,2.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
8201,5.0,6.0,,,,,,,,,,
5819.0,4.0,5.0,,,,,,,,,,
3605.0,1.0,2.0,1203.52,0.94,0.97,0.95,0.03,1.0,1.0,1.0,0.0,0.2848
-2126.0,0.0,2.0,,,,,,,,,,
5643.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
9112,7.0,2.0,,,,,,,,,,
3902.0,0.0,1.0,1157.55,0.95,0.98,0.96,0.03,1.0,1.0,1.0,0.0,0.3545
0.0,0.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
8932,8.0,2.0,,,,,,,,,,
832.0,3.0,2.0,,,,,,,,,,
3694.0,2.0,2.0,1203.99,0.95,0.98,0.96,0.03,1.0,1.0,1.0,0.0,0.2901
2440.0,6.0,0.0,,,,,,,,,,
0.0,2.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
4743.0,19.0,5.0,,,,,,,,,,
9197,2.0,2.0,,,,,,,,,,
1467.0,3.0,1.0,1185.65,0.95,0.97,0.96,0.02,1.0,1.0,1.0,0.0,0.2835
0.0,3.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
8051,4.0,1.0,,,,,,,,,,
5842.0,0.0,1.0,,,,,,,,,,
10.0,3.0,1.0,1201.53,0.92,0.96,0.94,0.04,1.0,1.0,1.0,0.0,0.2847
5125.0,1.0,1.0,,,,,,,,,,
0.0,1.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
2566.0,29.0,4.0,,,,,,,,,,
8372,4.0,1.0,,,,,,,,,,
2827.0,3.0,3.0,1196.27,0.95,0.98,0.96,0.03,1.0,1.0,1.0,0.0,0.3673
2463.0,1.0,1.0,,,,,,,,,,
1301.0,0.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
9576,2.0,1.0,,,,,,,,,,
1116.0,7.0,2.0,,,,,,,,,,
2205.0,0.0,1.0,1205.94,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.2906
5520.0,3.0,0.0,,,,,,,,,,
1533.0,5.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
8074,12.0,0.0,,,,,,,,,,
3410.0,7.0,1.0,,,,,,,,,,
6444.0,0.0,0.0,1204.3899999999999,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.1161
2340.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
8114,8.0,3.0,,,,,,,,,,
6483.0,-1.0,0.0,,,,,,,,,,
5805.0,-1.0,1.0,1183.52,0.93,0.97,0.95,0.04,1.0,1.0,1.0,0.0,0.2748
0.0,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
9322,10.0,1.0,,,,,,,,,,
86.0,0.0,0.0,,,,,,,,,,
6787.0,6.0,1.0,1195.54,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.1946
1567.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
9564,4.0,0.0,,,,,,,,,,
3081.0,0.0,0.0,,,,,,,,,,
1288.0,0.0,0.0,1229.08,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.0792
0.0,-1.0,1.0,,,,,,,,,,
-2345.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
9994,6.0,1.0,,,,,,,,,,
0.0,0.0,1.0,1170.71,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.2429
0.0,3.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
9607,6.0,2.0,,,,,,,,,,
2510.0,1.0,1.0,1138.6,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.364
,,,,,,,,,,,,
8330,9.0,3.0,,,,,,,,,,
5680.0,12.0,0.0,,,,,,,,,,
2584.0,0.0,4.0,1212.29,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.2271
5194.0,0.0,1.0,,,,,,,,,,
0.0,-1.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
7604.0,14.0,9.0,,,,,,,,,,
4698.0,5.0,2.0,,,,,,,,,,
4781.0,0.0,0.0,1193.81,0.85,0.78,0.81,0.07,1.0,1.0,1.0,0.0,0.2019
978.0,0.0,2.0,,,,,,,,,,
0.0,3.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
9350,8.0,2.0,,,,,,,,,,
0.0,2.0,0.0,,,,,,,,,,
0.0,3.0,0.0,1194.17,0.95,0.98,0.96,0.03,1.0,1.0,1.0,0.0,0.1883
4235.0,0.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
9949,11.0,0.0,,,,,,,,,,
0.0,0.0,1.0,1183.25,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.1375
2895.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
9898,0.0,2.0,,,,,,,,,,
2844.0,7.0,1.0,,,,,,,,,,
0.0,0.0,1.0,1180.1,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.349
271.0,0.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
8469,3.0,1.0,,,,,,,,,,
2396.0,0.0,0.0,,,,,,,,,,
3978.0,0.0,0.0,1203.74,0.95,0.97,0.96,0.02,1.0,1.0,1.0,0.0,0.1026
5512.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
9434,7.0,3.0,,,,,,,,,,
2036.0,3.0,0.0,,,,,,,,,,
2233.0,0.0,0.0,1196.12,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.1888
2239.0,2.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
8209,0.0,2.0,,,,,,,,,,
0.0,5.0,0.0,,,,,,,,,,
0.0,0.0,1.0,1214.51,0.91,0.95,0.93,0.04,1.0,1.0,1.0,0.0,0.1449
0.0,3.0,0.0,,,,,,,,,,
1752.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
10061,22.0,3.0,,,,,,,,,,
510.0,6.0,2.0,,,,,,,,,,
6792.0,5.0,1.0,1187.22,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.2978
5584.0,3.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
9606,14.0,3.0,,,,,,,,,,
1429.0,5.0,2.0,,,,,,,,,,
3916.0,2.0,2.0,1206.23,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.2977
4985.0,0.0,0.0,,,,,,,,,,
3798.0,4.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
8451,2.0,3.0,,,,,,,,,,
0.0,3.0,0.0,1180.37,0.95,0.98,0.96,0.03,1.0,1.0,1.0,0.0,0.1263
1445.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
9162,40.0,4.0,,,,,,,,,,
4920.0,-1.0,0.0,,,,,,,,,,
4482.0,0.0,1.0,1218.1399999999999,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.1786
2726.0,0.0,0.0,,,,,,,,,,
2444.0,5.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
8161,16.0,0.0,,,,,,,,,,
0.0,6.0,4.0,,,,,,,,,,
415.0,7.0,3.0,1187.96,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.2804
1213.0,1.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
8135,13.0,0.0,,,,,,,,,,
311.0,0.0,0.0,1172.3899999999999,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.0361
,,,,,,,,,,,,
9206,8.0,2.0,,,,,,,,,,
3057.0,0.0,1.0,1168.38,0.95,0.98,0.96,0.03,1.0,1.0,1.0,0.0,0.2462
0.0,2.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
10330,12.0,0.0,,,,,,,,,,
5972.0,-2.0,3.0,,,,,,,,,,
5357.0,2.0,2.0,1190.84,0.99,0.99,0.99,0.0,1.0,1.0,1.0,0.0,0.2816
0.0,2.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
8120,13.0,10.0,,,,,,,,,,
0.0,13.0,2.0,,,,,,,,,,
2692.0,2.0,2.0,1202.69,0.99,1.0,0.99,0.01,1.0,1.0,1.0,0.0,0.3531
2589.0,0.0,1.0,,,,,,,,,,
5078.0,8.0,2.0,,,,,,,,,,
,,,,,,,,,,,,
10031,9.0,4.0,,,,,,,,,,
1453.0,5.0,0.0,1181.91,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.1409
0.0,3.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
5697.0,20.0,5.0,,,,,,,,,,
10662,4.0,2.0,1168.95,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.2705
5042.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
5418.0,9.0,1.0,,,,,,,,,,
2295.0,0.0,1.0,1165.08,0.94,0.91,0.93,0.03,1.0,1.0,1.0,0.0,0.2492
7938,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
8316,3.0,1.0,,,,,,,,,,
2934.0,3.0,0.0,1154.49,0.95,0.97,0.96,0.02,1.0,1.0,1.0,0.0,0.1951
,,,,,,,,,,,,
8392,11.0,0.0,,,,,,,,,,
2657.0,3.0,0.0,1172.79,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.0421
,,,,,,,,,,,,
8655,5.0,1.0,,,,,,,,,,
0.0,3.0,1.0,,,,,,,,,,
2814.0,0.0,0.0,1194.66,0.95,0.98,0.96,0.03,1.0,1.0,1.0,0.0,0.1834
0.0,1.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
7807,3.0,0.0,,,,,,,,,,
5621.0,2.0,0.0,1190.6,0.94,0.93,0.94,0.01,1.0,1.0,1.0,0.0,0.024
0.0,3.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
7652,5.0,0.0,,,,,,,,,,
0.0,0.0,1.0,1133.26,0.84,0.76,0.8,0.08,1.0,1.0,1.0,0.0,0.1874
,,,,,,,,,,,,
8237,0.0,2.0,1113.1,0.91,0.95,0.93,0.04,1.0,1.0,1.0,0.0,0.359
,,,,,,,,,,,,
10241,6.0,2.0,1116.4,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.386
,,,,,,,,,,,,
10303,13.0,5.0,,,,,,,,,,
5215.0,0.0,2.0,1171.84,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.2516
-155.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
8184,6.0,1.0,,,,,,,,,,
0.0,2.0,0.0,1149.66,0.91,0.95,0.93,0.04,1.0,1.0,1.0,0.0,0.1934
,,,,,,,,,,,,
9805,7.0,1.0,,,,,,,,,,
2928.0,0.0,0.0,,,,,,,,,,
0.0,0.0,1.0,1196.51,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.1849
2639.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
10017,14.0,4.0,,,,,,,,,,
5306.0,3.0,0.0,1169.79,0.97,0.99,0.98,0.02,1.0,1.0,1.0,0.0,0.2621
4493.0,1.0,1.0,,,,,,,,,,
,,,,,,,,,,,,
8708,9.0,0.0,1151.05,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.0595
,,,,,,,,,,,,
8288,3.0,3.0,,,,,,,,,,
4431.0,5.0,0.0,1178.37,0.93,0.96,0.95,0.03,1.0,1.0,1.0,0.0,0.1363
0.0,3.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
10436,16.0,4.0,,,,,,,,,,
0.0,0.0,3.0,1139.76,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.3724
,,,,,,,,,,,,
8402,15.0,0.0,,,,,,,,,,
4743.0,1.0,1.0,,,,,,,,,,
4766.0,0.0,0.0,1205.67,0.98,0.99,0.98,0.01,1.0,1.0,1.0,0.0,0.1133
0.0,2.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
8296,0.0,0.0,,,,,,,,,,
2733.0,0.0,0.0,1173.16,0.96,0.98,0.97,0.02,1.0,1.0,1.0,0.0,0.0184
,,,,,,,,,,,,
5928.0,11.0,2.0,,,,,,,,,,
8879,0.0,1.0,,,,,,,,,,
